,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
62,63,Marcel Reece (FA),10,36,3.6,12,0,0,30,37,269,9.0,3,0,15,78.5,5.2,0.0%
63,64,Shaun Draughn (FA),78,273,3.5,30,1,1,27,35,176,6.5,0,0,11,77.9,7.1,0.0%
64,65,Fred Jackson (FA),26,100,3.8,16,0,0,32,41,257,8.0,2,1,16,77.7,4.9,0.0%
65,66,Arian Foster (FA),63,163,2.6,16,0,1,22,28,227,10.3,2,1,4,77.0,19.3,0.0%
66,67,Andre Ellington (FA),45,289,6.4,63,2,3,15,24,148,9.9,0,1,10,74.7,7.5,0.1%
67,68,Joseph Randle (FA),76,315,4.1,37,3,4,10,10,86,8.6,0,0,6,74.0,12.3,0.0%
68,69,Chris Polk (FA),99,334,3.4,20,1,1,16,28,109,6.8,1,0,15,72.3,4.8,0.0%
69,70,Khiry Robinson (FA),56,180,3.2,14,0,4,17,20,115,6.8,0,0,8,70.5,8.8,0.0%
70,71,Brandon Bolden (NE),63,207,3.3,14,0,0,19,30,180,9.5,2,0,15,69.7,4.6,21.6%
71,72,Denard Robinson (FA),67,266,4.0,31,1,1,21,30,164,7.8,0,1,13,66.8,5.1,0.2%
72,73,Benny Cunningham Jr. (FA),37,140,3.8,40,1,0,26,36,250,9.6,0,0,16,65.0,4.1,0.0%
73,74,Bishop Sankey (FA),47,193,4.1,16,0,1,14,22,139,9.9,1,1,13,57.2,4.4,0.0%
74,75,Mike Gillislee (FA),47,267,5.7,60,3,3,6,7,29,4.8,0,1,5,51.6,10.3,0.0%
75,76,Tre Mason (FA),75,207,2.8,15,0,1,18,21,88,4.9,0,1,13,51.5,4.0,0.6%
76,77,Lance Dunbar (FA),5,67,13.4,45,1,0,21,23,215,10.2,0,0,4,49.2,12.3,0.0%
77,78,Donald Brown (FA),59,229,3.9,53,2,1,8,13,88,11.0,0,0,10,45.7,4.6,0.0%
78,79,Travaris Cadet (FA),11,28,2.5,6,0,0,17,22,214,12.6,1,1,7,45.2,6.5,0.0%
79,80,Damien Williams (CHI),16,59,3.7,19,0,0,21,28,142,6.8,1,1,16,45.1,2.8,7.7%
80,81,Matt Asiata (FA),29,112,3.9,19,0,0,19,22,132,6.9,0,0,16,43.4,2.7,0.0%
81,82,Ahmad Bradshaw (FA),31,85,2.7,23,1,0,10,14,64,6.4,3,0,6,42.9,7.2,0.0%
82,83,Jay Ajayi (FA),49,187,3.8,24,3,1,7,11,90,12.9,0,0,9,42.7,4.7,7.0%
83,84,Tevin Coleman (NYJ),87,392,4.5,46,2,1,2,11,14,7.0,0,3,12,42.6,3.6,2.9%
84,85,Ka'Deem Carey (FA),43,159,3.7,11,0,2,3,3,19,6.3,1,1,11,36.8,3.3,0.0%
85,86,Patrick DiMarco (FA),1,0,0.0,0,0,0,13,17,110,8.5,2,0,16,36.0,2.3,0.0%
86,87,DuJuan Harris (FA),48,189,3.9,47,3,0,9,14,97,10.8,0,1,4,35.6,8.9,0.0%
87,88,Andre Williams (FA),88,257,2.9,35,1,1,1,3,7,7.0,0,0,16,35.4,2.2,0.0%
88,89,Robert Turbin (FA),50,199,4.0,22,2,1,7,10,23,3.3,0,0,10,35.2,3.5,0.0%
89,90,Fozzy Whittaker (FA),25,108,4.3,16,0,1,12,15,64,5.3,0,0,15,35.2,2.3,0.0%
90,91,Cameron Artis-Payne (FA),45,183,4.1,31,2,1,5,5,58,11.6,0,0,7,35.1,5.0,0.0%
91,92,Branden Oliver (FA),31,108,3.5,15,0,0,13,15,112,8.6,0,0,8,35.0,4.4,0.0%
92,93,Zach Line (FA),6,10,1.7,3,0,2,6,9,95,15.8,1,0,16,34.5,2.2,0.0%
93,94,Jamize Olawale (DAL),24,110,4.6,19,0,1,9,11,84,9.3,0,0,14,34.4,2.5,0.0%
94,95,Jonas Gray (FA),45,176,3.9,23,1,0,7,8,76,10.9,0,0,8,32.2,4.0,0.0%
95,96,Terron Ward (FA),29,95,3.3,13,0,1,9,13,73,8.1,0,0,13,31.8,2.4,0.0%
96,97,Bruce Miller (FA),6,14,2.3,4,0,1,10,14,135,13.5,0,0,16,30.9,1.9,0.0%
97,98,Zac Stacy (FA),31,89,2.9,18,0,1,9,12,65,7.2,0,0,8,30.4,3.8,0.0%
98,99,Christine Michael (FA),54,243,4.5,45,1,0,3,6,16,5.3,0,0,8,28.9,3.6,0.0%
99,100,Taiwan Jones (BUF),16,74,4.6,19,0,0,7,9,106,15.1,1,1,12,28.8,2.4,0.0%
100,101,Orleans Darkwa (FA),36,153,4.3,17,0,1,3,5,31,10.3,0,0,16,27.4,1.7,0.0%
101,102,John Kuhn (FA),9,28,3.1,5,0,2,6,10,56,9.3,0,0,16,26.4,1.7,0.0%
