,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,A.J. Green (ARI),97,164,1350,13.9,73,16,11,4,38,0,1,16,299.8,18.7,40.0%
1,2,Dez Bryant (FA),92,138,1382,15.0,85,19,12,2,-5,0,2,16,299.7,18.7,2.6%
2,3,Julio Jones (TEN),79,129,1198,15.2,80,17,10,6,30,0,0,16,261.8,16.4,69.4%
3,4,Randall Cobb (GB),80,104,954,11.9,39,17,8,10,132,0,1,15,234.6,15.6,14.5%
4,5,T.Y. Hilton (IND),50,90,861,17.2,70,13,7,5,29,0,0,15,181.0,12.1,28.4%
5,6,Larry Fitzgerald (FA),71,156,798,11.2,37,9,4,0,0,0,0,16,174.8,10.9,0.2%
6,7,Andre Roberts (LAC),64,114,759,11.9,46,10,5,4,29,0,0,15,172.8,11.5,0.0%
7,8,Antonio Brown (TB),66,106,787,11.9,60,10,5,7,24,0,2,13,171.1,13.2,90.2%
8,9,Golden Tate (FA),45,67,688,15.3,51,12,7,3,20,0,1,15,160.7,10.7,0.0%
9,10,Josh Gordon (KC),50,95,805,16.1,71,12,5,0,0,0,1,16,158.5,9.9,2.3%
10,11,DeSean Jackson (LV),45,88,700,15.6,77,9,2,3,-7,0,0,11,126.3,11.5,4.1%
11,12,Emmanuel Sanders (BUF),44,74,626,14.2,37,11,1,1,4,0,2,16,109.0,6.8,76.3%
12,13,Alshon Jeffery (FA),24,48,367,15.3,55,6,3,0,0,0,0,10,78.7,7.9,0.0%
13,14,Julian Edelman (FA),21,32,235,11.2,56,1,3,4,45,0,1,9,65.0,7.2,13.1%
14,15,Travis Benjamin (SF),18,37,298,16.6,69,4,2,6,66,0,1,14,64.4,4.6,0.0%
15,16,Mohamed Sanu Sr. (SF),16,25,154,9.6,34,1,4,5,15,0,0,9,63.8,7.1,0.1%
16,17,Marvin Jones Jr. (JAC),18,32,201,11.2,23,1,1,3,47,0,0,11,48.8,4.4,70.3%
17,18,Dwayne Harris (FA),17,31,222,13.1,36,3,1,0,0,0,0,16,47.2,3.0,0.0%
18,19,Cole Beasley (BUF),15,24,128,8.5,20,1,0,0,0,0,0,10,27.8,2.8,73.7%
19,20,Ted Ginn Jr. (FA),2,2,1,0.5,1,0,0,1,7,0,1,13,0.8,0.1,0.0%
20,21,Trinity Benson (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
21,22,Tyron Johnson (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
22,23,Jeff Smith (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
23,24,Penny Hart (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
24,25,Steven Sims Jr. (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
25,26,D.J. Montgomery (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
26,27,Trenton Irwin (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
27,28,John Ursua (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
28,29,Jody Fortson (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
29,30,Alex Bachman (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
30,31,Jalen Guyton (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
31,32,Jason Moore Jr. (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
32,33,Nsimba Webster (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
33,34,Kabion Ento (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
34,35,Malik Henry (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
35,36,Deonte Harris (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,12.9%
36,37,Jayson Stanley (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
37,38,Olamide Zaccheaus (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%
38,39,Malik Taylor (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
39,40,Scotty Miller (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
40,41,Davion Davis (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
