,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Christian McCaffrey (CAR),287,1387,4.8,84,6,15,116,142,1005,8.7,4,0,16,471.2,29.5,99.9%
1,2,Aaron Jones (GB),236,1084,4.6,56,5,16,49,68,474,9.7,3,2,16,314.8,19.7,99.1%
2,3,Ezekiel Elliott (DAL),301,1357,4.5,33,4,12,54,71,420,7.8,2,2,16,311.7,19.5,99.9%
3,4,Austin Ekeler (LAC),132,557,4.2,35,4,3,92,108,993,10.8,8,2,16,309.0,19.3,99.9%
4,5,Derrick Henry (TEN),303,1540,5.1,74,9,16,18,24,206,11.4,2,3,15,294.6,19.6,85.5%
5,6,Dalvin Cook (MIN),250,1135,4.5,75,7,13,53,63,519,9.8,0,2,14,292.4,20.9,100.0%
6,7,Leonard Fournette (TB),265,1152,4.3,81,7,3,76,100,522,6.9,0,1,15,259.4,17.3,97.5%
7,8,Nick Chubb (CLE),298,1494,5.0,88,11,8,36,49,278,7.7,0,3,16,255.2,16.0,99.7%
8,9,Alvin Kamara (NO),171,797,4.7,40,5,5,81,97,533,6.6,1,1,14,248.5,17.8,100.0%
9,10,Saquon Barkley (NYG),217,1003,4.6,68,8,6,52,73,438,8.4,2,0,13,244.1,18.8,98.4%
10,11,Mark Ingram II (NO),202,1018,5.0,53,6,10,26,29,247,9.5,5,2,15,242.5,16.2,80.7%
11,12,Chris Carson (SEA),278,1230,4.4,59,8,7,37,47,266,7.2,2,4,15,232.6,15.5,59.0%
12,13,Joe Mixon (CIN),278,1137,4.1,41,6,5,35,45,287,8.2,3,0,16,225.4,14.1,99.7%
13,14,Todd Gurley II (FA),223,857,3.8,25,5,12,31,49,207,6.7,2,2,15,219.4,14.6,0.4%
14,15,Miles Sanders (PHI),179,818,4.6,65,5,3,50,63,509,10.2,3,1,16,218.7,13.7,81.0%
15,16,Le'Veon Bell (FA),245,789,3.2,19,0,3,66,78,461,7.0,1,1,15,215.0,14.3,3.9%
16,17,Kenyan Drake (LV),170,817,4.8,80,4,8,50,68,345,6.9,0,1,14,214.2,15.3,64.4%
17,18,James White (NE),67,263,3.9,32,1,1,72,95,645,9.0,5,1,15,200.2,13.3,9.2%
18,19,Phillip Lindsay (HOU),224,1011,4.5,40,7,7,35,48,196,5.6,0,0,16,197.7,12.4,10.4%
19,20,Devonta Freeman (BAL),184,656,3.6,28,3,2,59,70,410,6.9,4,2,14,197.6,14.1,49.9%
20,21,Josh Jacobs (LV),242,1150,4.8,51,8,7,20,27,166,8.3,0,1,13,191.6,14.7,96.9%
21,22,Marlon Mack (IND),247,1091,4.4,63,9,8,14,17,82,5.9,0,0,14,181.3,13.0,2.3%
22,23,Melvin Gordon III (DEN),162,612,3.8,24,2,8,42,55,296,7.0,1,3,12,180.8,15.1,89.1%
23,24,David Montgomery (CHI),242,889,3.7,55,3,6,25,35,185,7.4,1,2,16,170.4,10.7,95.6%
24,25,Ronald Jones II (TB),172,724,4.2,49,6,6,31,40,309,10.0,0,2,16,166.3,10.4,20.2%
25,26,Raheem Mostert (SF),137,772,5.6,41,3,8,14,22,180,12.9,2,2,16,165.2,10.3,14.0%
