,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Alvin Kamara (NO),187,932,5.0,49,0,16,83,107,756,9.1,5,0,15,377.8,25.2,100.0%
1,2,Dalvin Cook (MIN),312,1557,5.0,70,0,16,44,54,361,8.2,1,3,14,337.8,24.1,100.0%
2,3,Derrick Henry (TEN),378,2027,5.4,94,0,17,19,31,114,6.0,0,2,16,333.1,20.8,85.5%
3,4,David Montgomery (CHI),247,1070,4.3,80,0,8,54,68,438,8.1,2,1,15,264.8,17.7,95.6%
4,5,Aaron Jones (GB),201,1104,5.5,77,0,9,47,63,355,7.6,2,0,14,258.9,18.5,99.1%
5,6,Jonathan Taylor (IND),232,1169,5.0,62,0,11,36,40,299,8.3,1,1,15,252.8,16.9,99.9%
6,7,James Robinson (JAC),240,1070,4.5,47,0,7,49,60,344,7.0,3,1,14,250.4,17.9,97.7%
7,8,Josh Jacobs (LV),273,1065,3.9,28,0,12,33,45,238,7.2,0,2,15,231.3,15.4,96.9%
8,9,Ezekiel Elliott (DAL),244,979,4.0,31,0,6,52,71,338,6.5,2,5,15,223.7,14.9,99.9%
9,10,Kareem Hunt (CLE),198,841,4.2,33,0,6,38,51,304,8.0,5,0,16,218.5,13.7,88.8%
10,11,Nick Chubb (CLE),190,1067,5.6,59,0,12,16,18,150,9.4,0,1,12,207.7,17.3,99.7%
11,12,Mike Davis (ATL),165,642,3.9,25,0,6,59,70,373,6.3,2,1,15,206.5,13.8,65.1%
12,13,Antonio Gibson (WAS),170,795,4.7,40,0,11,36,44,247,6.9,0,2,14,202.2,14.4,96.9%
13,14,Melvin Gordon III (DEN),215,986,4.6,65,0,9,32,44,158,4.9,1,4,15,198.4,13.2,89.1%
14,15,Nyheim Hines (IND),89,380,4.3,31,0,3,63,76,482,7.7,4,0,16,193.2,12.1,55.3%
15,16,Kenyan Drake (LV),239,955,4.0,69,0,10,25,31,137,5.5,0,1,15,192.2,12.8,64.4%
16,17,J.D. McKissic (WAS),85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,191.4,12.0,54.8%
17,18,D'Andre Swift (DET),114,521,4.6,54,0,8,46,57,357,7.8,2,2,13,189.8,14.6,98.9%
18,19,Chris Carson (SEA),141,681,4.8,29,0,5,37,46,287,7.8,4,0,12,187.8,15.7,59.0%
19,20,Ronald Jones II (TB),192,978,5.1,98,0,7,28,42,165,5.9,1,2,14,186.3,13.3,20.2%
20,21,David Johnson (HOU),147,691,4.7,48,0,6,33,46,314,9.5,2,1,12,179.5,15.0,26.0%
21,22,Clyde Edwards-Helaire (KC),181,803,4.4,31,0,4,36,54,297,8.3,1,0,13,176.0,13.5,90.8%
22,23,Miles Sanders (PHI),164,867,5.3,82,0,6,28,52,197,7.0,0,2,12,170.4,14.2,81.0%
23,24,J.K. Dobbins (BAL),134,805,6.0,72,0,9,18,24,120,6.7,0,0,15,168.5,11.2,9.6%
24,25,Chase Edmonds (ARI),97,448,4.6,32,0,1,53,67,402,7.6,4,0,16,168.0,10.5,77.8%
25,26,Austin Ekeler (LAC),116,530,4.6,27,0,1,54,65,403,7.5,2,0,10,165.3,16.5,99.9%
26,27,James Conner (ARI),169,721,4.3,59,0,6,35,43,215,6.1,0,0,13,164.6,12.7,96.3%
27,28,Myles Gaskin (MIA),142,584,4.1,26,0,3,41,47,388,9.5,2,2,10,164.2,16.4,92.2%
28,29,Todd Gurley II (FA),195,678,3.5,35,0,9,25,35,164,6.6,0,0,15,163.2,10.9,0.4%
29,30,Giovani Bernard (TB),124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,158.1,9.9,8.4%
30,31,Devin Singletary (BUF),156,687,4.4,51,0,2,38,50,269,7.1,0,1,16,143.6,9.0,65.3%
31,32,Jeff Wilson Jr. (SF),126,600,4.8,34,0,7,13,28,133,10.2,3,2,12,142.3,11.9,56.8%
32,33,Wayne Gallman Jr. (ATL),147,682,4.6,60,0,6,21,27,114,5.4,0,0,15,136.6,9.1,7.4%
