,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Antonio Brown (TB),106,154,1284,12.1,51,22,12,3,9,0,0,15,307.3,20.5,90.2%
1,2,Jordy Nelson (FA),97,152,1257,13.0,60,19,14,0,0,0,1,16,304.7,19.0,0.1%
2,3,Mike Evans (TB),96,173,1321,13.8,45,15,12,0,0,0,0,16,304.1,19.0,99.0%
3,4,Odell Beckham Jr. (LAR),101,169,1367,13.5,75,20,10,1,9,0,1,16,296.6,18.5,85.8%
4,5,T.Y. Hilton (IND),91,155,1448,15.9,63,28,6,0,0,0,0,16,273.8,17.1,28.4%
5,6,Julio Jones (TEN),83,129,1409,17.0,75,27,6,0,0,0,0,14,259.9,18.6,69.4%
6,7,Michael Thomas (NO),92,121,1137,12.4,46,18,9,0,0,0,2,15,255.7,17.0,24.5%
7,8,Doug Baldwin (FA),94,125,1128,12.0,59,16,7,3,2,0,0,16,253.6,15.9,0.0%
8,9,Davante Adams (GB),75,121,997,13.3,66,17,12,0,0,0,1,16,246.7,15.4,100.0%
9,10,Brandin Cooks (HOU),78,117,1173,15.0,98,15,8,6,30,0,0,16,246.3,15.4,93.5%
10,11,Larry Fitzgerald (FA),107,150,1023,9.6,32,8,6,2,5,0,1,16,244.9,15.3,0.2%
11,12,Michael Crabtree (FA),89,145,1003,11.3,56,10,8,0,0,0,0,16,239.3,15.0,0.1%
12,13,Jarvis Landry (CLE),94,131,1136,12.1,71,16,4,5,17,0,2,16,231.5,14.5,76.1%
13,14,Amari Cooper (DAL),83,132,1153,13.9,64,21,5,1,0,0,0,16,230.9,14.4,97.9%
14,15,Julian Edelman (FA),98,159,1106,11.3,77,11,3,12,57,0,2,16,230.3,14.4,13.1%
15,16,Demaryius Thomas (FA),90,144,1083,12.0,55,10,5,0,0,0,2,16,226.3,14.1,0.1%
16,17,Golden Tate (FA),91,135,1077,11.8,67,13,4,10,4,0,1,16,223.1,13.9,0.0%
17,18,Tyrell Williams (FA),69,119,1059,15.3,51,19,7,0,0,0,0,16,216.9,13.6,6.0%
18,19,Terrelle Pryor Sr. (FA),77,140,1007,13.1,54,11,4,8,21,1,0,16,213.4,13.3,0.0%
19,20,Emmanuel Sanders (BUF),79,137,1032,13.1,64,12,5,1,4,0,0,16,212.6,13.3,76.3%
20,21,Rishard Matthews (FA),65,108,945,14.5,60,16,9,0,0,0,1,16,211.5,13.2,0.0%
21,22,Mike Wallace (FA),72,116,1017,14.1,95,10,4,5,31,0,0,16,202.8,12.7,0.0%
22,23,Pierre Garcon (FA),79,114,1041,13.2,70,15,3,0,0,0,0,16,201.1,12.6,0.0%
23,24,Allen Robinson II (CHI),73,151,883,12.1,42,11,6,0,0,0,0,16,199.3,12.5,70.9%
24,25,Tyreek Hill (KC),61,83,593,9.7,49,8,6,24,267,3,1,16,199.0,12.4,100.0%
25,26,DeAndre Hopkins (ARI),78,151,954,12.2,51,10,4,0,0,0,0,16,197.4,12.3,99.4%
26,27,Kelvin Benjamin (FA),63,118,941,14.9,50,10,7,0,0,0,1,16,197.1,12.3,0.1%
27,28,Kenny Britt (FA),68,111,1002,14.7,66,15,5,0,0,0,1,15,196.2,13.1,0.0%
28,29,Adam Thielen (MIN),69,92,967,14.0,71,16,5,2,15,0,1,16,195.2,12.2,98.1%
29,30,Stefon Diggs (BUF),84,112,903,10.8,46,10,3,3,10,0,0,13,193.3,14.9,100.0%
30,31,Willie Snead IV (CAR),72,104,895,12.4,49,12,4,0,0,0,0,15,191.5,12.8,0.1%
31,32,Jamison Crowder (NYJ),67,99,847,12.6,55,11,7,2,-2,0,1,16,191.5,12.0,21.7%
32,33,Cole Beasley (BUF),75,98,833,11.1,47,6,5,1,7,0,0,16,189.0,11.8,73.7%
33,34,A.J. Green (ARI),66,100,964,14.6,54,15,4,0,0,0,0,10,186.4,18.6,40.0%
34,35,Brandon LaFell (FA),64,107,862,13.5,86,11,6,1,-2,0,0,16,186.0,11.6,0.0%
35,36,Sterling Shepard (NYG),65,105,683,10.5,32,6,8,3,31,0,0,16,184.4,11.5,40.4%
36,37,Steve Smith (FA),70,101,799,11.4,52,12,5,0,0,0,0,14,183.9,13.1,0.0%
37,38,DeSean Jackson (LV),56,100,1005,17.9,80,19,4,0,0,0,0,15,180.5,12.0,4.1%
38,39,Dez Bryant (FA),50,96,796,15.9,56,10,8,0,0,0,1,13,180.0,13.8,2.6%
39,40,Cameron Meredith (FA),66,97,888,13.5,50,13,4,1,6,0,2,14,179.5,12.8,0.0%
40,41,Anquan Boldin (FA),67,95,584,8.7,35,5,8,0,0,0,0,16,173.4,10.8,0.1%
41,42,Marqise Lee (FA),63,105,851,13.5,51,13,3,6,35,0,1,16,172.4,10.8,0.0%
42,43,Marvin Jones Jr. (JAC),55,103,930,16.9,73,16,4,1,3,0,0,15,172.3,11.5,70.3%
43,44,Jordan Matthews (SF),73,117,804,11.0,54,13,3,0,0,0,0,14,171.4,12.2,0.0%
44,45,Quincy Enunwa (FA),58,105,857,14.8,69,14,4,1,12,0,0,16,168.9,10.6,0.0%
45,46,Kenny Stills (NO),42,81,726,17.3,74,10,9,0,0,0,0,16,168.6,10.5,0.1%
46,47,Dontrelle Inman (FA),58,97,810,14.0,57,10,4,0,0,0,0,16,163.0,10.2,0.0%
47,48,Ted Ginn Jr. (FA),54,95,752,13.9,88,9,4,14,98,0,2,16,159.0,9.9,0.0%
48,49,Brandon Marshall (FA),59,128,788,13.4,41,10,3,0,0,0,0,15,156.7,10.4,2.6%
49,50,DeVante Parker (MIA),56,87,744,13.3,56,9,4,0,0,0,0,15,154.4,10.3,39.4%
50,51,Mohamed Sanu Sr. (SF),59,81,653,11.1,59,6,4,1,5,0,1,15,148.8,9.9,0.1%
51,52,Randall Cobb (GB),60,84,610,10.2,47,7,4,10,33,0,0,13,148.3,11.4,14.5%
52,53,Tavon Austin (JAC),58,106,509,8.8,43,6,3,28,159,1,1,15,146.8,9.8,0.0%
53,54,Jeremy Kerley (FA),64,115,667,10.4,33,8,3,0,0,0,1,16,146.7,9.2,0.0%
54,55,Alshon Jeffery (FA),52,94,821,15.8,54,12,2,0,0,0,0,12,146.1,12.2,0.0%
55,56,Taylor Gabriel (FA),35,50,579,16.5,76,8,6,4,51,1,0,13,141.9,10.9,0.1%
56,57,Ty Montgomery (NO),44,56,348,7.9,24,1,0,77,457,3,1,15,140.5,9.4,0.1%
57,58,J.J. Nelson (IND),34,74,568,16.7,80,9,6,4,83,1,1,15,139.1,9.3,0.0%
58,59,Adam Humphries (WAS),55,83,622,11.3,42,7,2,5,18,0,0,15,133.0,8.9,0.3%
59,60,Travis Benjamin (SF),47,75,677,14.4,54,10,4,2,-3,0,3,14,132.4,9.5,0.0%
60,61,Chris Hogan (FA),38,58,680,17.9,79,11,4,3,9,0,1,15,128.9,8.6,0.0%
61,62,Eli Rogers (FA),48,66,594,12.4,39,11,3,1,6,0,0,13,126.0,9.7,0.0%
62,63,Terrance Williams (FA),44,61,594,13.5,47,6,4,0,0,0,1,16,125.4,7.8,0.0%
63,64,Tyler Lockett (SEA),41,66,597,14.6,57,9,1,6,114,1,0,15,124.1,8.3,97.7%
64,65,Tyler Boyd (CIN),54,81,603,11.2,30,9,1,4,58,0,1,16,124.1,7.8,67.9%
65,66,Will Fuller V (MIA),47,92,635,13.5,53,11,2,1,-3,0,0,14,122.2,8.7,29.4%
66,67,Robert Woods (LAR),51,76,613,12.0,34,10,1,1,6,0,0,13,118.9,9.1,42.8%
67,68,Michael Floyd (FA),37,76,488,13.2,39,4,5,0,0,0,0,15,115.8,7.7,0.0%
68,69,Brian Quick (FA),41,77,564,13.8,65,7,3,0,0,0,0,16,115.4,7.2,0.0%
69,70,Robby Anderson (CAR),42,78,587,14.0,52,10,2,3,42,0,1,16,114.9,7.2,51.7%
70,71,Cordarrelle Patterson (ATL),52,70,453,8.7,39,4,2,7,43,0,0,16,113.6,7.1,94.0%
71,72,Seth Roberts (FA),38,77,397,10.4,41,5,5,0,0,0,0,16,111.7,7.0,0.0%
72,73,Jeremy Maclin (FA),44,76,536,12.2,44,6,2,1,-1,0,0,12,109.5,9.1,0.0%
73,74,Tajae Sharpe (ATL),41,83,522,12.7,34,7,2,1,1,0,0,16,105.3,6.6,2.1%
74,75,John Brown (JAC),39,73,517,13.3,30,5,2,1,10,0,0,15,103.7,6.9,1.3%
75,76,Donte Moncrief (HOU),30,56,307,10.2,39,3,7,1,-1,0,0,9,102.6,11.4,0.0%
76,77,Victor Cruz (FA),39,72,586,15.0,48,10,1,0,0,0,1,15,101.6,6.8,0.1%
77,78,Breshad Perriman (TB),33,66,499,15.1,53,8,3,1,2,0,0,16,101.1,6.3,0.8%
78,79,Allen Hurns (MIA),35,76,477,13.6,42,9,3,0,0,0,0,11,100.7,9.2,0.0%
79,80,Phillip Dorsett II (SEA),33,59,528,16.0,64,8,2,2,10,0,0,15,98.8,6.6,0.0%
80,81,Jermaine Kearse (FA),41,89,510,12.4,36,7,1,0,0,0,0,16,98.1,6.1,0.0%
