,Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Patrick Mahomes II (KC),271,412,65.8,2929,7.1,25,10,17,37,227,1,2,10,231.8,23.2,100.0%
1,2,Josh Allen (BUF),230,347,66.3,2602,7.5,19,6,14,59,322,3,2,9,222.3,24.7,100.0%
2,3,Jalen Hurts (PHI),184,296,62.2,2159,7.3,13,5,17,96,549,5,1,10,222.2,22.2,95.3%
3,4,Tom Brady (TB),254,377,67.4,2870,7.6,27,7,12,15,41,1,2,9,221.9,24.7,98.9%
4,5,Lamar Jackson (BAL),199,309,64.4,2447,7.9,14,8,28,107,639,2,3,9,219.8,24.4,99.7%
5,6,Matthew Stafford (LAR),245,362,67.7,3014,8.3,24,8,14,23,38,0,0,10,214.3,21.4,96.4%
6,7,Justin Herbert (LAC),231,353,65.4,2545,7.2,19,7,16,30,117,2,1,9,198.4,22.0,97.8%
7,8,Kyler Murray (ARI),186,256,72.7,2276,8.9,17,7,18,49,147,3,0,8,184.8,23.1,99.9%
8,9,Dak Prescott (DAL),201,286,70.3,2341,8.2,20,5,11,26,91,1,3,8,179.7,22.5,98.7%
9,10,Kirk Cousins (MIN),231,339,68.1,2434,7.2,18,2,12,16,73,1,1,9,178.7,19.9,72.4%
10,11,Ryan Tannehill (TEN),210,316,66.5,2358,7.5,12,8,29,30,169,5,3,10,177.2,17.7,84.9%
11,12,Joe Burrow (CIN),195,286,68.2,2497,8.7,20,11,25,21,44,0,0,9,175.2,19.5,89.2%
12,13,Carson Wentz (IND),212,334,63.5,2378,7.1,17,3,18,33,120,1,3,10,174.1,17.4,50.9%
13,14,Aaron Rodgers (GB),196,295,66.4,2186,7.4,17,4,18,20,55,2,0,9,169.6,18.8,97.2%
14,15,Derek Carr (LV),235,347,67.7,2826,8.1,15,8,20,25,52,0,1,9,168.0,18.7,72.2%
15,16,Teddy Bridgewater (DEN),222,321,69.2,2389,7.4,14,5,27,21,69,1,1,10,159.5,16.0,21.7%
16,17,Taylor Heinicke (WAS),201,306,65.7,2184,7.1,12,9,19,39,247,1,1,9,155.8,17.3,14.1%
17,18,Matt Ryan (ATL),218,322,67.7,2274,7.1,15,8,16,17,37,1,2,9,150.6,16.7,47.0%
18,19,Daniel Jones (NYG),190,293,64.8,2059,7.0,8,5,19,50,258,2,3,9,149.8,16.6,31.7%
19,20,Mac Jones (NE),223,323,69.0,2333,7.2,13,7,19,19,59,0,2,10,144.2,14.4,31.2%
20,21,Sam Darnold (CAR),182,306,59.5,1986,6.5,7,11,22,37,185,5,2,9,143.1,15.9,7.8%
21,22,Jimmy Garoppolo (SF),154,232,66.4,1936,8.3,10,5,14,25,34,3,3,8,129.9,16.2,19.9%
22,23,Baker Mayfield (CLE),161,246,65.4,1990,8.1,9,4,26,21,80,1,2,9,126.6,14.1,34.2%
23,24,Trevor Lawrence (JAC),192,331,58.0,1983,6.0,8,9,16,37,169,2,4,9,125.3,13.9,28.7%
24,25,Jameis Winston (NO),95,161,59.0,1170,7.3,14,3,11,32,166,1,1,7,120.3,17.2,6.9%
25,26,Jared Goff (DET),220,333,66.1,2109,6.3,8,6,26,13,76,0,4,9,118.0,13.1,4.9%
26,27,Ben Roethlisberger (PIT),196,299,65.6,1986,6.6,10,4,18,11,6,0,3,8,110.0,13.8,18.9%
27,28,Russell Wilson (SEA),110,165,66.7,1357,8.2,10,3,16,22,100,1,0,6,107.3,17.9,94.0%
28,29,Tua Tagovailoa (MIA),111,170,65.3,1198,7.0,7,5,8,18,62,3,0,6,97.1,16.2,48.0%
29,30,Justin Fields (CHI),111,187,59.4,1282,6.9,4,8,29,52,288,2,2,9,96.1,10.7,26.0%
30,31,Jacoby Brissett (MIA),141,225,62.7,1283,5.7,5,4,18,18,68,1,3,8,76.2,9.5,1.5%
31,32,Davis Mills (HOU),140,209,67.0,1357,6.5,7,8,20,7,8,0,1,7,75.1,10.7,0.7%
32,33,Zach Wilson (NYJ),104,181,57.5,1168,6.5,4,9,19,8,22,0,0,6,59.9,10.0,3.9%
33,34,Geno Smith (SEA),65,95,68.4,702,7.4,5,1,13,9,42,1,1,4,55.3,13.8,1.2%
34,35,Mike White (NYJ),88,132,66.7,953,7.2,5,8,4,5,-1,0,0,4,52.0,13.0,2.8%
35,36,Tyrod Taylor (HOU),55,87,63.2,656,7.5,3,3,6,8,78,1,0,3,49.0,16.3,5.5%
36,37,Trey Lance (SF),25,48,52.1,354,7.4,3,1,3,27,133,1,0,4,46.5,11.6,11.0%
37,38,Trevor Siemian (NO),60,104,57.7,706,6.8,5,0,6,2,2,0,1,3,46.5,15.5,5.5%
38,39,Taysom Hill (NO),7,8,87.5,56,7.0,0,1,0,20,104,3,0,7,38.8,5.5,3.8%
39,40,Josh Johnson (NYJ),29,45,64.4,334,7.4,3,1,2,4,18,0,0,2,26.2,13.1,0.1%
40,41,Cooper Rush (DAL),27,43,62.8,342,8.0,2,1,3,4,-4,0,1,2,18.3,9.2,0.8%
41,42,Colt McCoy (ARI),33,46,71.7,356,7.7,1,1,4,15,16,0,1,5,16.9,3.4,1.6%
42,43,Mason Rudolph (PIT),30,50,60.0,242,4.8,1,1,0,4,36,0,0,1,16.3,16.3,1.1%
43,44,Case Keenum (CLE),30,48,62.5,286,6.0,1,0,4,7,7,0,0,4,16.1,4.0,0.7%
44,45,Andy Dalton (CHI),37,50,74.0,270,5.4,1,1,4,4,38,0,1,3,15.5,5.2,0.3%
45,46,Jordan Love (GB),24,41,58.5,258,6.3,1,1,2,8,20,0,1,3,13.3,4.4,3.0%
46,47,Cam Newton (CAR),3,4,75.0,8,2.0,1,0,0,3,14,1,0,1,11.7,11.7,44.5%
47,48,Mike Glennon (NYG),16,25,64.0,196,7.8,1,2,0,2,2,0,0,1,10.0,10.0,0.1%
48,49,Brian Hoyer (NE),6,7,85.7,164,23.4,1,0,0,8,-8,0,0,3,9.8,3.3,0.0%
49,50,Mitchell Trubisky (BUF),2,2,100.0,9,4.5,0,0,0,10,27,1,0,3,9.0,3.0,0.3%
50,51,P.J. Walker (CAR),25,44,56.8,200,4.5,0,1,3,5,18,0,1,3,8.8,2.9,0.7%
51,52,Joe Flacco (NYJ),3,3,100.0,47,15.7,1,0,0,0,0,0,0,1,5.9,5.9,1.9%
52,53,Brandon Allen (CIN),2,3,66.7,13,4.3,1,0,0,4,-3,0,0,2,4.2,2.1,0.1%
53,54,Marcus Mariota (LV),0,0,0.0,0,0.0,0,0,0,3,41,0,0,3,4.1,1.4,0.1%
54,55,Chad Henne (KC),11,16,68.8,82,5.1,0,0,0,3,2,0,0,2,3.5,1.8,0.1%
55,56,Drew Lock (DEN),12,21,57.1,113,5.4,0,1,3,0,0,0,0,1,3.5,3.5,0.3%
56,57,Tyler Huntley (BAL),5,11,45.5,39,3.5,0,0,0,3,10,0,0,2,2.6,1.3,0.6%
57,58,Chris Streveler (ARI),6,9,66.7,36,4.0,0,0,2,3,6,0,0,2,2.0,1.0,0.0%
58,59,Blaine Gabbert (TB),5,6,83.3,56,9.3,0,0,0,6,-4,0,0,3,1.8,0.6,0.1%
59,60,C.J. Beathard (JAC),2,2,100.0,33,16.5,0,0,0,0,0,0,0,1,1.3,1.3,0.0%
60,61,Ryan Fitzpatrick (WAS),3,6,50.0,13,2.2,0,0,1,1,2,0,0,1,0.7,0.7,6.9%
61,62,David Blough (DET),0,0,0.0,0,0.0,0,0,1,1,6,0,0,1,0.6,0.6,0.0%
62,63,Feleipe Franks (ATL),0,0,0.0,0,0.0,0,0,0,3,6,0,0,4,0.6,0.2,0.0%
63,64,Gardner Minshew II (PHI),2,2,100.0,11,5.5,0,0,0,0,0,0,0,1,0.4,0.4,0.2%
64,65,Nathan Peterman (LV),0,0,0.0,0,0.0,0,0,0,2,2,0,0,1,0.2,0.2,0.0%
65,66,Sam Ehlinger (IND),0,0,0.0,0,0.0,0,0,0,1,1,0,0,1,0.1,0.1,0.1%
66,67,Reid Sinnett (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
