,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Jimmy Graham (CHI),86,143,1215,14.1,56,19,16,0,0,0,0,16,303.5,19.0,0.4%
1,2,Jason Witten (FA),73,111,851,11.7,34,13,8,0,0,0,0,16,206.1,12.9,0.1%
2,3,Greg Olsen (FA),73,111,816,11.2,31,12,6,0,0,0,0,16,190.6,11.9,7.0%
3,4,Garrett Graham (FA),49,89,545,11.1,42,8,5,0,0,0,1,13,131.5,10.1,0.0%
4,5,Rob Gronkowski (TB),39,66,592,15.2,50,10,4,0,0,0,0,7,122.2,17.5,88.0%
5,6,Jordan Reed (FA),45,60,499,11.1,38,3,3,1,18,0,0,9,114.7,12.7,19.0%
6,7,Zach Ertz (ARI),36,56,469,13.0,38,8,4,0,0,0,0,16,106.9,6.7,71.2%
7,8,Tyler Eifert (FA),39,59,445,11.4,61,5,2,0,0,0,0,15,95.5,6.4,0.0%
8,9,Marcedes Lewis (GB),25,47,359,14.4,41,7,4,0,0,0,1,11,82.9,7.5,0.7%
9,10,Kyle Rudolph (NYG),30,46,313,10.4,31,6,3,0,0,0,0,8,79.3,9.9,0.7%
10,11,Luke Willson (FA),20,28,272,13.6,39,4,1,0,0,0,0,16,53.2,3.3,0.0%
11,12,Bruce Miller (FA),25,36,243,9.7,43,2,0,7,13,0,0,14,50.6,3.6,0.0%
12,13,Ryan Griffin (NYJ),19,28,244,12.8,40,3,1,0,0,0,0,15,49.4,3.3,0.6%
13,14,Levine Toilolo (NYG),11,14,55,5.0,12,0,2,0,0,0,0,16,28.5,1.8,0.0%
14,15,Vance McDonald (FA),8,19,119,14.9,25,3,0,0,0,0,0,15,19.9,1.3,0.0%
15,16,Josh Hill (FA),6,10,44,7.3,9,0,1,1,-8,0,0,14,15.6,1.1,0.0%
16,17,Virgil Green (FA),9,12,45,5.0,10,0,0,0,0,0,0,16,13.5,0.8,0.0%
17,18,Lee Smith (ATL),5,9,78,15.6,28,2,0,0,0,0,0,16,12.8,0.8,0.0%
18,19,Jack Doyle (IND),5,7,19,3.8,8,0,0,0,0,0,0,15,6.9,0.5,1.0%
19,20,Matt Sokol (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
20,21,Mitchell Fraboni (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
21,22,Matthew Orzech (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
22,23,Ian Bunting (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
23,24,Parker Hesse (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
24,25,Chris Myarick (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
25,26,Donald Parham Jr. (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
26,27,Andrew Beck (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
27,28,Trevon Wesco (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
28,29,Tyree Jackson (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
29,30,Isaac Nauta (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
30,31,Irv Smith Jr. (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,7.9%
31,32,Dawson Knox (BUF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,74.6%
32,33,Dax Raymond (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
33,34,Kahale Warring (BUF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
34,35,Zach Gentry (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
35,36,Stephen Carlson (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
36,37,Carson Meier (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
37,38,Austin Fort (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
38,39,Jody Fortson (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
39,40,Cole Kmet (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.2%
40,41,Harrison Bryant (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
