,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,LeSean McCoy (FA),314,1607,5.1,57,9,9,52,64,539,10.4,2,1,16,330.6,20.7,2.0%
1,2,Adrian Peterson (TEN),279,1266,4.5,78,8,10,29,40,171,5.9,1,3,14,232.7,16.6,45.1%
2,3,Giovani Bernard (TB),170,695,4.1,35,3,5,56,70,514,9.2,3,1,16,222.9,13.9,8.4%
3,4,Le'Veon Bell (FA),244,860,3.5,43,4,8,45,66,399,8.9,0,1,13,216.9,16.7,3.9%
4,5,Frank Gore (FA),276,1128,4.1,51,9,9,16,26,141,8.8,0,3,16,190.9,11.9,12.1%
5,6,Alfred Morris (NYG),276,1275,4.6,45,10,7,9,12,78,8.7,0,4,16,178.3,11.1,0.0%
6,7,Cordarrelle Patterson (ATL),12,158,13.2,50,3,3,45,77,469,10.4,4,0,16,149.7,9.4,94.0%
7,8,Lamar Miller (FA),177,709,4.0,49,4,2,26,35,170,6.5,0,1,16,123.9,7.7,0.0%
8,9,Brandon Bolden (NE),55,271,4.9,46,2,3,21,29,152,7.2,0,0,12,81.3,6.8,21.6%
9,10,Mark Ingram II (NO),78,386,4.9,34,3,1,7,11,68,9.7,0,0,11,58.4,5.3,80.7%
10,11,Anthony Sherman (FA),2,3,1.5,2,0,0,18,24,155,8.6,1,1,16,37.8,2.4,0.0%
11,12,Theo Riddick (FA),9,25,2.8,7,0,1,4,8,26,6.5,0,0,14,15.1,1.1,0.0%
12,13,Patrick DiMarco (FA),0,0,0.0,0,0,0,8,10,49,6.1,0,0,14,12.9,0.9,0.0%
13,14,Kenjon Barner (FA),6,7,1.2,2,0,0,2,3,7,3.5,0,0,8,3.4,0.4,0.0%
