,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Seattle Seahawks (SEA),44,28,11,14,4,2,0,16,196.0,12.3,7.7%
1,2,Carolina Panthers (CAR),60,20,10,11,4,0,0,16,190.0,11.9,64.3%
2,3,Kansas City Chiefs (KC),47,21,15,12,7,0,4,16,180.0,11.3,18.3%
3,4,Arizona Cardinals (ARI),47,20,10,11,5,2,0,16,168.0,10.5,81.5%
4,5,Cincinnati Bengals (CIN),43,20,11,13,5,0,1,16,167.0,10.4,11.7%
5,6,San Francisco 49ers (SF),38,18,11,11,5,1,0,16,163.0,10.2,77.5%
6,7,New England Patriots (NE),48,17,12,11,3,0,0,16,145.0,9.1,88.0%
7,8,Buffalo Bills (BUF),57,23,6,12,3,0,0,16,143.0,8.9,97.5%
8,9,Indianapolis Colts (IND),42,15,12,15,1,2,1,16,132.0,8.3,55.5%
9,10,Tampa Bay Buccaneers (TB),35,21,10,13,3,1,0,16,126.0,7.9,94.1%
10,11,Philadelphia Eagles (PHI),37,19,12,11,2,2,0,16,122.0,7.6,15.3%
11,12,Miami Dolphins (MIA),42,18,6,8,2,1,0,16,121.0,7.6,60.9%
12,13,New York Giants (NYG),34,17,12,13,2,0,1,16,120.0,7.5,2.3%
13,14,Tennessee Titans (TEN),36,13,12,13,3,0,0,16,116.0,7.3,84.0%
14,15,Denver Broncos (DEN),41,17,9,14,2,0,3,16,115.0,7.2,41.2%
15,16,Dallas Cowboys (DAL),34,15,13,13,5,0,1,16,115.0,7.2,57.9%
16,17,Baltimore Ravens (BAL),40,16,7,14,1,0,2,16,111.0,6.9,81.1%
17,18,Cleveland Browns (CLE),40,14,7,7,4,0,1,16,111.0,6.9,79.6%
18,19,Chicago Bears (CHI),31,19,9,17,6,0,1,16,111.0,6.9,14.4%
19,20,Pittsburgh Steelers (PIT),34,10,10,14,3,1,1,16,110.0,6.9,63.5%
20,21,New Orleans Saints (NO),49,12,7,10,0,0,0,16,109.0,6.8,60.6%
21,22,Detroit Lions (DET),33,15,7,8,2,2,2,16,100.0,6.3,0.9%
22,23,Green Bay Packers (GB),44,11,11,13,2,0,1,16,100.0,6.3,34.8%
23,24,Washington Football Team (WAS),36,16,9,12,5,0,0,16,99.0,6.2,29.3%
24,25,New York Jets (NYJ),41,13,2,9,1,1,0,16,97.0,6.1,2.0%
25,26,Jacksonville Jaguars (JAC),31,11,10,14,2,3,0,16,86.0,5.4,1.0%
26,27,Atlanta Falcons (ATL),32,10,11,13,3,0,0,16,84.0,5.3,4.9%
27,28,Minnesota Vikings (MIN),41,12,8,11,1,0,3,16,72.0,4.5,14.1%
28,29,Houston Texans (HOU),32,7,4,8,1,1,1,16,60.0,3.8,0.9%
29,30,Los Angeles Rams (LAR),0,0,0,0,0,0,0,0,0.0,0.0,77.0%
30,31,Los Angeles Chargers (LAC),0,0,0,0,0,0,0,0,0.0,0.0,22.9%
31,32,Las Vegas Raiders (LV),0,0,0,0,0,0,0,0,0.0,0.0,10.8%
