,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Detroit Lions (DET),41,21,13,17,7,1,0,16,308.0,19.3,0.9%
1,2,Green Bay Packers (GB),29,31,7,12,5,0,2,16,295.0,18.4,34.8%
2,3,Chicago Bears (CHI),33,20,11,13,6,1,3,16,287.0,17.9,14.4%
3,4,Seattle Seahawks (SEA),33,22,9,10,4,1,1,16,287.0,17.9,7.7%
4,5,San Francisco 49ers (SF),42,23,15,18,1,1,2,16,286.0,17.9,77.5%
5,6,Buffalo Bills (BUF),29,20,11,13,6,1,1,16,283.0,17.7,97.5%
6,7,New England Patriots (NE),40,23,11,10,3,0,1,16,283.0,17.7,88.0%
7,8,Baltimore Ravens (BAL),48,15,11,21,4,0,1,16,281.0,17.6,81.1%
8,9,Philadelphia Eagles (PHI),50,15,9,9,4,1,0,16,280.0,17.5,15.3%
9,10,New York Giants (NYG),48,20,11,10,1,2,0,16,272.0,17.0,2.3%
10,11,New York Jets (NYJ),35,19,12,15,2,3,2,16,270.0,16.9,2.0%
11,12,Cincinnati Bengals (CIN),45,10,12,16,3,1,1,16,267.0,16.7,11.7%
12,13,Jacksonville Jaguars (JAC),31,17,11,16,3,0,1,16,266.0,16.6,1.0%
13,14,Houston Texans (HOU),44,17,10,10,1,0,1,16,263.0,16.4,0.9%
14,15,Atlanta Falcons (ATL),33,19,10,12,3,0,0,16,254.0,15.9,4.9%
15,16,Kansas City Chiefs (KC),29,20,6,12,2,0,0,16,253.0,15.8,18.3%
16,17,Minnesota Vikings (MIN),50,8,15,18,0,1,1,16,250.0,15.6,14.1%
17,18,Miami Dolphins (MIA),41,16,3,6,1,0,0,16,250.0,15.6,60.9%
18,19,Dallas Cowboys (DAL),42,15,9,12,1,0,0,16,249.0,15.6,57.9%
19,20,Tampa Bay Buccaneers (TB),23,14,10,13,4,1,0,16,249.0,15.6,94.1%
20,21,Washington Football Team (WAS),41,13,8,17,1,0,0,16,247.0,15.4,29.3%
21,22,Denver Broncos (DEN),41,9,9,10,3,0,2,16,246.0,15.4,41.2%
22,23,New Orleans Saints (NO),33,9,7,14,3,0,1,16,245.0,15.3,60.6%
23,24,Arizona Cardinals (ARI),42,10,9,11,0,0,4,16,242.0,15.1,81.5%
24,25,Carolina Panthers (CAR),31,14,10,10,0,2,1,16,240.0,15.0,64.3%
25,26,Tennessee Titans (TEN),28,11,12,14,1,0,2,16,239.0,14.9,84.0%
26,27,Pittsburgh Steelers (PIT),35,11,4,6,1,2,1,16,233.0,14.6,63.5%
27,28,Indianapolis Colts (IND),29,8,9,14,3,0,0,16,230.0,14.4,55.5%
28,29,Cleveland Browns (CLE),32,9,11,15,0,0,1,16,229.0,14.3,79.6%
29,30,Las Vegas Raiders (LV),0,0,0,0,0,0,0,0,0.0,0.0,10.8%
30,31,Los Angeles Chargers (LAC),0,0,0,0,0,0,0,0,0.0,0.0,22.9%
31,32,Los Angeles Rams (LAR),0,0,0,0,0,0,0,0,0.0,0.0,77.0%
