,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Stephen Gostkowski (FA),33,36,91.7,57,0,6,11,12,4,52,52,16,171.0,10.7,0.1%
1,2,Graham Gano (NYG),30,36,83.3,52,1,10,4,13,2,56,58,16,163.0,10.2,34.3%
2,3,Blair Walsh (FA),34,39,87.2,54,0,9,13,6,6,33,37,16,153.0,9.6,0.1%
3,4,Josh Brown (FA),30,32,93.8,53,1,6,12,8,3,44,45,16,148.0,9.3,0.0%
4,5,Robbie Gould (SF),33,39,84.6,55,1,8,10,7,7,28,28,16,148.0,9.3,11.3%
5,6,Cairo Santos (CHI),30,37,81.1,53,0,7,10,9,4,39,41,16,146.0,9.1,2.2%
6,7,Justin Tucker (BAL),33,40,82.5,52,0,10,9,10,4,29,29,16,146.0,9.1,97.6%
7,8,Stephen Hauschka (FA),29,31,93.5,54,0,9,7,7,6,40,42,16,146.0,9.1,0.0%
8,9,Chandler Catanzaro (FA),28,31,90.3,47,1,12,9,6,0,53,58,16,143.0,8.9,0.0%
9,10,Brandon McManus (DEN),30,35,85.7,57,0,12,8,5,5,35,36,16,140.0,8.8,31.2%
10,11,Dan Bailey (FA),30,32,93.8,54,0,9,10,6,5,25,25,16,131.0,8.2,0.0%
11,12,Mike Nugent (FA),23,28,82.1,52,0,6,5,10,2,48,48,16,131.0,8.2,1.0%
12,13,Chris Boswell (PIT),29,32,90.6,51,1,9,8,9,2,26,27,12,126.0,10.5,56.3%
13,14,Josh Lambo (FA),26,32,81.3,54,0,4,7,11,4,28,31,16,125.0,7.8,3.5%
14,15,Dustin Hopkins (LAC),25,28,89.3,54,0,7,9,7,2,39,40,15,125.0,8.3,9.8%
15,16,Mason Crosby (GB),24,28,85.7,56,1,7,4,8,4,36,36,16,124.0,7.8,39.1%
16,17,Adam Vinatieri (FA),25,27,92.6,55,0,7,6,8,4,32,34,16,123.0,7.7,0.2%
17,18,Jason Myers (SEA),26,30,86.7,58,0,9,8,6,3,32,39,16,122.0,7.6,22.9%
18,19,Matt Prater (ARI),22,24,91.7,59,0,3,8,6,5,36,38,16,118.0,7.4,71.9%
19,20,Dan Carpenter (FA),23,27,85.2,52,0,5,8,7,3,34,40,16,116.0,7.3,0.2%
20,21,Sebastian Janikowski (FA),21,26,80.8,56,0,7,5,5,4,38,39,16,114.0,7.1,20.0%
21,22,Travis Coons (FA),28,32,87.5,47,0,11,10,7,0,22,24,16,113.0,7.1,1.1%
22,23,Phil Dawson (FA),24,27,88.9,54,0,9,6,6,3,20,20,16,104.0,6.5,0.1%
