,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Stephen Gostkowski (FA),38,41,92.7,54,1,8,13,11,5,44,44,16,179.0,11.2,0.1%
1,2,Matt Prater (ARI),25,26,96.2,64,2,4,5,8,6,75,75,16,170.0,10.6,71.9%
2,3,Justin Tucker (BAL),38,41,92.7,61,0,10,12,10,6,26,26,16,162.0,10.1,97.6%
3,4,Stephen Hauschka (FA),33,35,94.3,53,0,10,9,11,3,44,44,16,160.0,10.0,0.0%
4,5,Mason Crosby (GB),33,37,89.2,57,1,13,8,6,5,42,42,16,157.0,9.8,39.1%
5,6,Dan Bailey (FA),28,30,93.3,53,2,2,8,10,6,47,47,16,153.0,9.6,0.0%
6,7,Nick Folk (NE),33,36,91.7,54,0,8,10,12,3,27,27,16,144.0,9.0,77.6%
7,8,Robbie Gould (SF),26,29,89.7,58,0,11,6,6,3,45,45,16,135.0,8.4,11.3%
8,9,Graham Gano (NYG),24,27,88.9,55,0,9,4,5,6,42,42,16,131.0,8.2,34.3%
9,10,Ryan Succop (TB),22,28,78.6,51,0,6,9,6,1,52,52,16,126.0,7.9,51.2%
10,11,Greg Zuerlein (DAL),26,28,92.9,54,0,7,10,8,1,34,34,16,122.0,7.6,42.0%
11,12,Mike Nugent (FA),18,22,81.8,54,0,2,6,7,3,52,52,16,119.0,7.4,1.0%
12,13,Randy Bullock (TEN),26,35,74.3,51,1,7,5,12,1,26,26,16,118.0,7.4,58.8%
13,14,Kai Forbath (LAR),18,22,81.8,50,0,3,10,4,1,26,26,13,86.0,6.6,3.0%
14,15,Zane Gonzalez (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.1%
15,16,Tristan Vizcaino (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
16,17,Harrison Butker (KC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,95.1%
17,18,Younghoe Koo (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.4%
18,19,Daniel Carlson (LV),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.0%
19,20,Matt Gay (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.5%
20,21,Greg Joseph (MIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%
21,22,Jake Elliott (PHI),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%
22,23,Michael Badgley (IND),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.7%
23,24,Jason Sanders (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.5%
24,25,Adam Vinatieri (FA),35,40,87.5,52,0,6,10,15,4,34,34,15,0.0,0.0,0.2%
25,26,Sam Ficken (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
26,27,Michael Palardy (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3%
27,28,Jason Myers (SEA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.9%
28,29,Ty Long (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
29,30,Ka'imi Fairbairn (HOU),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4%
30,31,Jonathan Brown (JAC),0,0,0.0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
31,32,Wil Lutz (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.8%
32,33,Aldrick Rosas (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%
33,34,Matthew Wright (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
34,35,Austin Seibert (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
35,36,Evan McPherson (CIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1%
36,37,Blake Haubeil (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
37,38,Riley Patterson (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
38,39,Alex Kessman (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
39,40,Jose Borregales (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
40,41,Quinn Nordin (NE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
41,42,Chris Naggar (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
42,43,Joey Slye (WAS),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1%
43,44,Chase McLaughlin (CLE),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,23.9%
44,45,Rodrigo Blankenship (IND),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.6%
45,46,Jake Verity (BAL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
46,47,Tyler Bass (BUF),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,93.6%
47,48,JJ Molson (GB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
48,49,Sam Sloman (PIT),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
49,50,Matt Ammendola (NYJ),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%
