,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Jonathan Taylor (IND),161,937,5.8,83,0,9,29,35,303,10.4,1,1,10,211.0,21.1,99.9%
1,2,Derrick Henry (TEN),219,937,4.3,76,0,10,18,20,154,8.6,0,0,8,193.3,24.2,85.5%
2,3,Austin Ekeler (LAC),112,523,4.7,28,0,5,39,51,340,8.7,4,1,9,179.3,19.9,99.9%
3,4,Najee Harris (PIT),176,646,3.7,20,0,4,44,56,317,7.2,2,0,9,176.3,19.6,99.9%
4,5,D'Andre Swift (DET),123,419,3.4,21,0,3,50,63,420,8.4,2,1,9,161.9,18.0,98.9%
5,6,Aaron Jones (GB),123,541,4.4,57,0,3,37,47,298,8.1,4,1,10,160.9,16.1,99.1%
6,7,Ezekiel Elliott (DAL),142,663,4.7,47,0,7,26,32,168,6.5,1,1,9,159.3,17.7,99.9%
7,8,Joe Mixon (CIN),150,636,4.2,27,0,7,22,26,194,8.8,2,0,9,159.0,17.7,99.7%
8,9,Cordarrelle Patterson (ATL),77,303,3.9,14,0,2,39,49,473,12.1,5,0,9,158.6,17.6,94.0%
9,10,Alvin Kamara (NO),146,530,3.6,23,0,3,32,44,310,9.7,4,0,8,158.0,19.8,100.0%
10,11,James Conner (ARI),125,493,3.9,35,0,11,13,14,136,10.5,1,0,10,147.9,14.8,96.3%
11,12,Darrell Henderson Jr. (LAR),126,593,4.7,29,0,5,23,34,154,6.7,2,0,9,139.7,15.5,98.6%
12,13,Leonard Fournette (TB),112,486,4.3,21,0,4,38,48,284,7.5,0,0,9,139.0,15.4,97.5%
13,14,James Robinson (JAC),100,539,5.4,58,0,6,22,29,160,7.3,0,0,8,127.9,16.0,97.7%
