,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Le'Veon Bell (FA),290,1361,4.7,81,8,8,83,105,854,10.3,3,0,16,370.5,23.2,3.9%
1,2,Lamar Miller (FA),216,1099,5.1,97,9,8,38,52,275,7.2,1,3,16,223.4,14.0,0.0%
2,3,LeSean McCoy (FA),312,1319,4.2,53,9,5,28,37,155,5.5,0,3,16,199.4,12.5,2.0%
3,4,Mark Ingram II (NO),226,964,4.3,31,5,9,29,36,145,5.0,0,1,13,191.9,14.8,80.7%
4,5,Giovani Bernard (TB),168,680,4.0,89,2,5,43,59,349,8.1,2,0,13,187.9,14.5,8.4%
5,6,Alfred Morris (NYG),265,1074,4.1,30,9,8,17,26,155,9.1,0,0,16,187.9,11.7,0.0%
6,7,Frank Gore (FA),255,1106,4.3,52,5,4,11,19,111,10.1,1,2,16,158.7,9.9,12.1%
7,8,Theo Riddick (FA),20,51,2.6,9,0,0,34,50,316,9.3,4,0,14,94.7,6.8,0.0%
8,9,Jerick McKinnon (KC),113,538,4.8,55,4,0,27,41,135,5.0,0,0,11,94.3,8.6,1.5%
9,10,Cordarrelle Patterson (ATL),10,117,11.7,67,2,1,33,67,384,11.6,1,1,16,93.1,5.8,94.0%
10,11,Devonta Freeman (BAL),65,248,3.8,31,2,1,30,37,225,7.5,1,1,16,87.3,5.5,49.9%
11,12,Carlos Hyde (JAC),83,333,4.0,28,1,4,12,16,68,5.7,0,1,14,74.1,5.3,12.9%
12,13,Damien Williams (CHI),36,122,3.4,19,0,0,21,27,187,8.9,1,0,16,57.9,3.6,7.7%
13,14,Kyle Juszczyk (SF),0,0,0.0,0,0,0,19,27,182,9.6,1,2,16,39.2,2.5,1.1%
14,15,Anthony Sherman (FA),2,8,4.0,4,0,0,10,14,71,7.1,1,0,16,23.9,1.5,0.0%
15,16,Patrick DiMarco (FA),0,0,0.0,0,0,0,9,14,62,6.9,1,0,16,21.2,1.3,0.0%
16,17,Rex Burkhead (HOU),9,27,3.0,10,0,1,7,10,49,7.0,0,0,9,20.6,2.3,0.8%
17,18,Brandon Bolden (NE),28,89,3.2,17,0,1,2,6,8,4.0,0,0,16,17.7,1.1,21.6%
18,19,Chris Thompson (FA),3,12,4.0,7,0,0,6,7,27,4.5,1,0,2,15.9,8.0,0.0%
19,20,Adrian Peterson (TEN),21,75,3.6,17,0,0,2,3,18,9.0,0,0,1,11.3,11.3,45.1%
20,21,James White (NE),9,38,4.2,11,0,0,5,5,23,4.6,0,0,3,11.1,3.7,9.2%
21,22,Senorise Perry (FA),0,0,0.0,0,0,0,1,1,-1,-1.0,0,0,16,0.9,0.1,0.0%
22,23,Ty'Son Williams (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,6.9%
23,24,Jason Huntley (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
24,25,Rico Dowdle (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
25,26,JaMycal Hasty (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%
26,27,James Robinson (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,97.7%
27,28,Antonio Gibson (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,96.9%
28,29,Scottie Phillips (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
29,30,Sewo Olonilua (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
30,31,Jonathan Ward (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
31,32,Mikey Daniel (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
32,33,Cameron Scarlett (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
33,34,Reggie Gilliam (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
34,35,Antonio Williams (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
35,36,Chuba Hubbard (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,42.1%
36,37,Giovanni Ricci (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
37,38,Pete Guerriero (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
38,39,Ke'Shawn Vaughn (TB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
39,40,Trey Sermon (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,17.4%
40,41,Darrynton Evans (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%
41,42,Michael Warren II (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
42,43,Caleb Huntley (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
43,44,Anthony McFarland Jr. (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%
44,45,Eno Benjamin (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,5.9%
