,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,DeAndre Hopkins (ARI),115,163,1572,13.7,49,23,11,1,-7,0,2,16,333.5,20.8,99.4%
1,2,Davante Adams (GB),111,169,1386,12.5,57,18,13,0,0,0,0,15,329.6,22.0,100.0%
2,3,Tyreek Hill (KC),87,137,1479,17.0,75,27,12,22,151,1,0,16,328.0,20.5,100.0%
3,4,Julio Jones (TEN),113,170,1677,14.8,58,24,8,2,12,0,2,16,325.8,20.4,69.4%
4,5,Antonio Brown (TB),104,169,1297,12.5,78,17,15,0,0,0,0,15,323.7,21.6,90.2%
5,6,Michael Thomas (NO),125,147,1405,11.2,72,17,9,0,0,0,2,16,315.5,19.7,24.5%
6,7,Adam Thielen (MIN),113,153,1373,12.2,68,17,9,5,30,0,1,16,307.3,19.2,98.1%
7,8,JuJu Smith-Schuster (PIT),111,166,1426,12.8,97,18,7,1,13,0,1,16,296.9,18.6,20.9%
8,9,Mike Evans (TB),86,139,1524,17.7,72,26,8,0,0,0,1,16,284.4,17.8,99.0%
9,10,Stefon Diggs (BUF),102,148,1021,10.0,75,13,9,10,62,0,0,15,266.3,17.8,100.0%
10,11,Robert Woods (LAR),86,131,1219,14.2,39,20,6,19,157,1,0,16,265.6,16.6,42.8%
11,12,Keenan Allen (LAC),97,137,1196,12.3,54,13,6,9,75,0,1,16,260.1,16.3,99.0%
12,13,Brandin Cooks (HOU),80,116,1204,15.1,57,22,5,10,68,1,0,16,243.2,15.2,93.5%
13,14,T.Y. Hilton (IND),76,120,1270,16.7,68,22,6,0,0,0,0,14,239.0,17.1,28.4%
14,15,Odell Beckham Jr. (LAR),77,124,1052,13.7,51,17,6,5,19,0,1,12,230.4,19.2,85.8%
15,16,Tyler Lockett (SEA),57,71,965,16.9,52,17,10,13,69,0,0,16,222.4,13.9,97.7%
16,17,Tyler Boyd (CIN),76,108,1028,13.5,49,21,7,2,3,0,0,14,221.1,15.8,67.9%
17,18,Jarvis Landry (CLE),81,149,976,12.0,51,13,4,3,60,1,1,16,217.1,13.6,76.1%
18,19,Amari Cooper (DAL),75,107,1004,13.4,90,10,7,2,20,0,2,15,215.4,14.4,97.9%
19,20,Julian Edelman (FA),74,108,850,11.5,36,12,6,9,107,0,0,12,207.4,17.3,13.1%
20,21,Kenny Golladay (NYG),70,118,1063,15.2,60,19,5,1,8,0,0,15,207.1,13.8,61.8%
21,22,Calvin Ridley (ATL),64,92,821,12.8,75,11,10,6,27,0,1,16,206.8,12.9,79.7%
