,Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
22,23,Sam Bradford (FA),395,552,71.6,3877,7.0,20,5,37,20,53,0,5,15,221.9,14.8,0.0%
23,24,Carson Wentz (IND),379,607,62.4,3782,6.2,16,14,33,46,150,2,3,16,214.0,13.4,50.9%
24,25,Colin Kaepernick (FA),196,331,59.2,2241,6.8,16,4,36,69,468,2,3,12,200.3,16.7,0.3%
25,26,Trevor Siemian (NO),289,486,59.5,3401,7.0,18,10,31,28,57,0,2,14,191.6,13.7,5.5%
26,27,Ryan Tannehill (TEN),261,389,67.1,2995,7.7,19,12,29,39,164,1,3,13,190.4,14.6,84.9%
27,28,Brock Osweiler (FA),301,510,59.0,2957,5.8,15,16,27,30,131,2,1,15,168.9,11.3,0.0%
28,29,Ryan Fitzpatrick (WAS),228,403,56.6,2710,6.7,12,17,19,33,130,0,1,14,133.3,9.5,6.9%
29,30,Case Keenum (CLE),196,322,60.9,2201,6.8,9,11,23,20,51,1,1,10,111.0,11.1,0.7%
30,31,Brian Hoyer (NE),134,200,67.0,1445,7.2,6,0,4,7,-2,0,1,6,79.2,13.2,0.0%
31,32,Cody Kessler (FA),128,195,65.6,1380,7.1,6,2,21,11,18,0,1,9,76.9,8.5,0.1%
32,33,Blaine Gabbert (TB),91,160,56.9,925,5.8,5,6,11,40,173,2,0,6,73.7,12.3,0.1%
33,34,Matt Barkley (CAR),129,216,59.7,1611,7.5,8,14,6,7,2,0,2,7,71.8,10.3,0.0%
34,35,Robert Griffin III (FA),87,147,59.2,886,6.0,2,3,22,31,190,2,1,5,66.5,13.3,0.6%
35,36,Matt Moore (FA),55,87,63.2,721,8.3,8,3,1,1,-1,0,0,4,54.7,13.7,0.0%
36,37,Jared Goff (DET),112,205,54.6,1089,5.3,5,7,26,8,16,1,2,7,53.2,7.6,4.9%
37,38,Josh McCown (FA),90,165,54.5,1100,6.7,6,6,18,7,21,0,4,5,52.1,10.4,0.0%
38,39,Jay Cutler (FA),81,137,59.1,1059,7.7,4,5,17,5,24,0,2,5,46.8,9.4,0.2%
39,40,Jimmy Garoppolo (SF),43,63,68.3,502,8.0,4,0,3,10,6,0,1,6,36.1,6.0,19.9%
40,41,Landry Jones (FA),53,86,61.6,558,6.5,4,2,4,6,-4,0,0,8,33.9,4.2,0.0%
41,42,Bryce Petty (FA),75,133,56.4,809,6.1,3,7,13,5,19,0,1,6,32.3,5.4,0.0%
42,43,Paxton Lynch (FA),49,83,59.0,497,6.0,2,1,9,11,25,0,0,3,28.4,9.5,0.1%
43,44,Jacoby Brissett (MIA),34,55,61.8,400,7.3,0,0,6,16,83,1,1,3,28.3,9.4,1.5%
44,45,Nick Foles (CHI),36,55,65.5,410,7.5,3,0,4,4,-4,0,0,3,28.0,9.3,0.0%
45,46,Tom Savage (FA),46,73,63.0,461,6.3,0,0,5,6,12,0,1,3,17.6,5.9,0.0%
46,47,Kevin Hogan (TEN),14,26,53.8,104,4.0,0,2,2,8,105,1,0,4,16.7,4.2,0.0%
47,48,Derek Anderson (FA),36,53,67.9,453,8.5,2,5,0,1,4,0,1,6,16.5,2.8,0.0%
48,49,Matt Cassel (FA),30,51,58.8,284,5.6,2,2,5,4,3,0,0,4,15.7,3.9,0.0%
49,50,Shaun Hill (FA),19,35,54.3,242,6.9,0,0,1,5,5,0,0,3,10.1,3.4,0.0%
50,51,Drew Stanton (FA),19,48,39.6,192,4.0,2,3,1,3,-3,0,0,5,9.4,1.9,0.0%
51,52,Charlie Whitehurst (FA),14,24,58.3,182,7.6,1,1,2,2,1,0,0,1,9.4,9.4,0.4%
52,53,Mike Glennon (NYG),10,11,90.9,75,6.8,1,0,0,0,0,0,0,2,9.0,4.5,0.1%
53,54,Scott Tolzien (FA),23,37,62.2,216,5.8,1,2,3,6,3,0,0,3,8.9,3.0,0.0%
54,55,Trevone Boykin (FA),13,18,72.2,145,8.1,1,1,1,8,1,0,0,5,7.9,1.6,0.0%
55,56,Geno Smith (SEA),8,14,57.1,126,9.0,1,1,3,2,9,0,0,2,7.9,4.0,1.2%
56,57,E.J. Manuel (FA),11,26,42.3,131,5.0,0,0,3,8,22,0,1,6,7.4,1.2,0.0%
57,58,Connor Cook (FA),14,21,66.7,150,7.1,1,1,2,0,0,0,1,1,6.0,6.0,0.0%
58,59,Tony Romo (FA),3,4,75.0,29,7.3,1,0,0,0,0,0,0,1,5.2,5.2,0.1%
59,60,Matt McGloin (FA),8,15,53.3,50,3.3,0,0,0,3,-3,0,0,3,1.7,0.6,0.2%
60,61,Cardale Jones (FA),6,11,54.5,96,8.7,0,1,1,1,-1,0,0,1,1.7,1.7,0.0%
61,62,Joe Webb III (FA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,14,1.3,0.1,0.0%
62,63,David Fales (NYJ),2,5,40.0,22,4.4,0,0,1,1,0,0,0,1,0.9,0.9,0.0%
63,64,Chase Daniel (LAC),1,1,100.0,16,16.0,0,0,0,0,0,0,0,1,0.6,0.6,0.1%
64,65,Matt Schaub (FA),1,3,33.3,16,5.3,0,0,0,2,-2,0,0,4,0.4,0.1,0.0%
65,66,Jalen Morton (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
66,67,Reid Sinnett (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
67,68,Ian Book (NO),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
68,69,Case Cookus (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
69,70,Tommy Stevens (NYG),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
70,71,Trey Lance (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,11.0%
71,72,Sam Ehlinger (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
72,73,Mac Jones (NE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,31.2%
73,74,Feleipe Franks (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
74,75,Ben DiNucci (DAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
75,76,Kyle Trask (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
76,77,Jake Browning (CIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
77,78,Easton Stick (LAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
78,79,Clayton Thorson (NYG),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
79,80,Trace McSorley (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
80,81,Eric Dungey (CIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
81,82,Gardner Minshew II (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
82,83,Brett Rypien (DEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
83,84,Kyler Murray (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.9%
84,85,Jarrett Stidham (NE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
85,86,Justin Herbert (LAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,97.8%
86,87,David Blough (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
87,88,Kyle Shurmur (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
88,89,Kurt Benkert (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
89,90,Kyle Allen (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
90,91,John Wolford (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
91,92,Dwayne Haskins (PIT),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
92,93,Drew Lock (DEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%
93,94,Daniel Jones (NYG),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,31.7%
94,95,Will Grier (DAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
95,96,Jake Luton (MIA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
96,97,James Morgan (PIT),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
97,98,Brian Lewerke (NYG),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
98,99,Chris Streveler (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
99,100,Trevor Lawrence (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,28.7%
100,101,Justin Fields (CHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26.0%
101,102,Steven Montez (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
102,103,Jacob Eason (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
103,104,Jordan Ta'amu (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
104,105,Joe Burrow (CIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,89.2%
105,106,Tua Tagovailoa (MIA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,48.0%
106,107,Jake Fromm (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
107,108,Bryce Perkins (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
108,109,Jordan Love (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,3.0%
109,110,Jalen Hurts (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,95.3%
110,111,Tyler Huntley (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%
111,112,Shane Buechele (KC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
112,113,Kellen Mond (MIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
113,114,Zach Wilson (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,3.9%
114,115,Davis Mills (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
115,116,Tim Boyle (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
116,117,Ben Chappell (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
117,118,Hunter Cantwell (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
118,119,Erik Ainge (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
119,120,John David Booty (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
120,121,Adam Froman (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
121,122,Keith Null (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
122,123,Brian Brohm (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
123,124,Brett Ratliff (TEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
124,125,Josh Johnson (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
125,126,Colt McCoy (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%
126,127,Cooper Rush (DAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%
127,128,C.J. Beathard (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
128,129,Davis Webb (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
129,130,Joshua Dobbs (PIT),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
130,131,Chad Kelly (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
131,132,Nathan Peterman (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
132,133,Patrick Mahomes II (KC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,100.0%
133,134,Deshaun Watson (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.6%
134,135,Mitchell Trubisky (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%
135,136,Nick Mullens (CLE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
136,137,Nate Sudfeld (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
137,138,Ryan Griffin (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
138,139,Alex McGough (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
139,140,Kyle Lauletta (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
140,141,Mike White (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%
141,142,Josh Allen (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,100.0%
142,143,Logan Woodside (TEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
143,144,P.J. Walker (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
144,145,Baker Mayfield (CLE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34.2%
145,146,Sam Darnold (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,7.8%
146,147,Josh Rosen (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
147,148,Mason Rudolph (PIT),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%
148,149,Lamar Jackson (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.7%
149,150,Taysom Hill (NO),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,3.8%
150,151,Brandon Allen (CIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
151,152,Josh Johnson (FA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
152,153,Garrett Gilbert (NE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
153,154,Brett Smith (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
154,155,AJ McCarron (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
155,156,Teddy Bridgewater (DEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.7%
156,157,Jeff Driskel (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
157,158,Taylor Heinicke (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,14.1%
158,159,Kellen Clemens (FA),0,1,0.0,0,0.0,0,0,0,2,-1,0,0,12,-0.1,-0.0,0.0%
159,160,Chad Henne (KC),0,0,0.0,0,0.0,0,0,0,1,-2,0,0,1,-0.2,-0.2,0.1%
160,161,Mark Sanchez (FA),10,18,55.6,93,5.2,0,2,3,4,-2,0,0,2,-0.5,-0.3,0.1%
161,162,Sean Mannion (MIN),3,6,50.0,19,3.2,0,1,0,1,-1,0,0,1,-1.3,-1.3,0.0%
162,163,Ryan Mallett (FA),3,6,50.0,26,4.3,0,1,0,5,-6,0,0,4,-1.5,-0.4,0.0%
163,164,Brett Hundley (IND),2,10,20.0,17,1.7,0,1,0,3,-2,0,0,4,-1.5,-0.4,0.0%
