,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Stephen Gostkowski (FA),29,35,82.9,53,0,8,10,9,2,66,66,16,166.0,10.4,0.1%
1,2,Justin Tucker (BAL),30,33,90.9,56,0,8,8,10,4,42,42,16,150.0,9.4,97.6%
2,3,Matt Prater (ARI),26,32,81.3,53,1,7,10,5,3,55,55,16,144.0,9.0,71.9%
3,4,Dan Bailey (FA),29,31,93.5,51,1,5,13,7,3,37,37,16,137.0,8.6,0.0%
4,5,Mason Crosby (GB),21,33,63.6,54,0,5,5,9,2,50,50,16,126.0,7.9,39.1%
5,6,Stephen Hauschka (FA),24,27,88.9,52,1,7,10,5,1,46,46,16,125.0,7.8,0.0%
6,7,Greg Zuerlein (DAL),23,31,74.2,60,1,4,4,7,7,26,26,16,116.0,7.3,42.0%
7,8,Ryan Succop (TB),28,34,82.4,52,0,4,12,10,2,17,17,16,115.0,7.2,51.2%
8,9,Robbie Gould (SF),21,25,84.0,54,0,7,6,6,2,33,33,13,106.0,8.2,11.3%
9,10,Nick Folk (NE),21,27,77.8,54,0,7,6,5,3,30,30,16,104.0,6.5,77.6%
10,11,Mike Nugent (FA),19,23,82.6,55,2,5,5,6,1,35,35,12,100.0,8.3,1.0%
11,12,Kai Forbath (LAR),17,18,94.4,50,0,3,2,11,1,33,33,11,97.0,8.8,3.0%
12,13,Graham Gano (NYG),9,11,81.8,51,0,3,3,2,1,20,21,6,51.0,8.5,34.3%
13,14,Austin Seibert (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
14,15,Harrison Butker (KC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,95.1%
15,16,Tristan Vizcaino (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
16,17,Younghoe Koo (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.4%
17,18,Daniel Carlson (LV),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.0%
18,19,Jason Sanders (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.5%
19,20,Greg Joseph (MIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%
20,21,Zane Gonzalez (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.1%
21,22,Matt Gay (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.5%
22,23,Michael Badgley (IND),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.7%
23,24,Adam Vinatieri (FA),26,33,78.8,53,1,8,4,9,4,37,37,16,0.0,0.0,0.2%
24,25,Jake Elliott (PHI),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%
25,26,Michael Palardy (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3%
26,27,Jason Myers (SEA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.9%
27,28,Ty Long (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
28,29,Sam Ficken (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
29,30,Ka'imi Fairbairn (HOU),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4%
30,31,Jonathan Brown (JAC),0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1%
31,32,Wil Lutz (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.8%
32,33,Aldrick Rosas (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%
33,34,Matthew Wright (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
34,35,Evan McPherson (CIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1%
35,36,Blake Haubeil (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
36,37,Riley Patterson (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
