,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Travis Kelce (KC),83,122,1038,12.5,44,19,8,2,7,0,0,15,233.5,15.6,100.0%
1,2,Rob Gronkowski (TB),69,105,1084,15.7,53,18,8,0,0,0,0,14,227.3,16.2,88.0%
2,3,Zach Ertz (ARI),74,110,824,11.1,53,7,8,0,0,0,1,14,202.4,14.5,71.2%
3,4,Delanie Walker (FA),74,111,807,10.9,42,9,3,2,-2,1,2,16,174.5,10.9,0.1%
4,5,Evan Engram (NYG),64,115,722,11.3,35,11,6,1,14,0,0,15,173.6,11.6,29.2%
5,6,Jimmy Graham (CHI),57,96,520,9.1,33,8,10,0,0,0,0,16,171.0,10.7,0.4%
6,7,Jack Doyle (IND),80,108,690,8.6,26,4,4,0,0,0,2,15,169.0,11.3,1.0%
7,8,Kyle Rudolph (NYG),57,81,532,9.3,34,4,8,0,0,0,0,16,158.2,9.9,0.7%
8,9,Jason Witten (FA),63,87,560,8.9,28,3,5,0,0,0,1,16,147.0,9.2,0.1%
9,10,Cameron Brate (TB),48,77,591,12.3,35,5,6,0,0,0,0,16,143.1,8.9,2.9%
10,11,Benjamin Watson (FA),61,79,522,8.6,33,5,4,0,0,0,0,16,137.2,8.6,2.8%
11,12,Jared Cook (LAC),54,86,688,12.7,35,10,2,0,0,0,1,16,132.7,8.3,54.2%
12,13,Eric Ebron (PIT),53,86,574,10.8,44,6,4,0,0,0,1,16,132.4,8.3,4.1%
13,14,Hunter Henry (NE),45,62,579,12.9,34,8,4,0,0,0,0,14,126.9,9.1,70.8%
14,15,Tyler Kroft (NYJ),42,62,404,9.6,59,4,7,0,0,0,0,16,124.4,7.8,0.2%
15,16,Vernon Davis (FA),43,69,648,15.1,69,11,3,0,0,0,2,16,121.8,7.6,1.6%
