,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Chicago Bears (CHI),41,24,20,23,9,0,1,16,224.0,14.0,14.4%
1,2,Seattle Seahawks (SEA),36,18,13,16,3,0,3,16,178.0,11.1,7.7%
2,3,Denver Broncos (DEN),52,16,8,18,6,2,2,16,169.0,10.6,41.2%
3,4,New England Patriots (NE),37,20,21,28,5,1,2,16,167.0,10.4,88.0%
4,5,Cincinnati Bengals (CIN),51,14,16,16,3,0,1,16,158.0,9.9,11.7%
5,6,Houston Texans (HOU),44,15,14,16,3,1,1,16,152.0,9.5,0.9%
6,7,San Francisco 49ers (SF),38,14,11,12,3,1,0,16,150.0,9.4,77.5%
7,8,Arizona Cardinals (ARI),38,22,11,12,3,0,1,16,147.0,9.2,81.5%
8,9,Atlanta Falcons (ATL),29,20,11,15,2,0,0,16,133.0,8.3,4.9%
9,10,New York Giants (NYG),33,21,14,11,2,0,1,16,132.0,8.3,2.3%
10,11,Minnesota Vikings (MIN),44,10,12,13,3,0,2,16,123.0,7.7,14.1%
11,12,Green Bay Packers (GB),47,18,5,8,2,0,1,16,122.0,7.6,34.8%
12,13,Washington Football Team (WAS),32,21,9,12,4,0,0,16,120.0,7.5,29.3%
13,14,Carolina Panthers (CAR),39,11,12,15,3,1,0,16,118.0,7.4,64.3%
14,15,Cleveland Browns (CLE),38,17,12,16,2,0,1,16,117.0,7.3,79.6%
15,16,Tennessee Titans (TEN),39,19,5,13,5,1,4,16,115.0,7.2,84.0%
16,17,Baltimore Ravens (BAL),37,13,12,6,2,0,3,16,115.0,7.2,81.1%
17,18,New Orleans Saints (NO),30,15,11,10,4,0,1,16,113.0,7.1,60.6%
18,19,Pittsburgh Steelers (PIT),37,10,10,15,1,0,0,16,111.0,6.9,63.5%
19,20,New York Jets (NYJ),30,11,12,13,3,1,2,16,110.0,6.9,2.0%
20,21,Tampa Bay Buccaneers (TB),27,18,8,10,3,0,1,16,107.0,6.7,94.1%
21,22,Miami Dolphins (MIA),42,10,6,11,0,0,2,16,106.0,6.6,60.9%
22,23,Indianapolis Colts (IND),32,12,3,6,4,0,2,16,97.0,6.1,55.5%
23,24,Dallas Cowboys (DAL),34,7,9,13,3,0,1,16,85.0,5.3,57.9%
24,25,Buffalo Bills (BUF),36,12,9,18,1,1,3,16,78.0,4.9,97.5%
25,26,Jacksonville Jaguars (JAC),20,12,11,12,0,0,1,16,70.0,4.4,1.0%
26,27,Detroit Lions (DET),34,11,6,9,0,1,0,16,67.0,4.2,0.9%
27,28,Philadelphia Eagles (PHI),30,8,5,9,0,0,1,16,54.0,3.4,15.3%
28,29,Kansas City Chiefs (KC),27,7,6,11,1,1,0,16,50.0,3.1,18.3%
29,30,Los Angeles Chargers (LAC),0,0,0,0,0,0,0,0,0.0,0.0,22.9%
30,31,Los Angeles Rams (LAR),0,0,0,0,0,0,0,0,0.0,0.0,77.0%
31,32,Las Vegas Raiders (LV),0,0,0,0,0,0,0,0,0.0,0.0,10.8%
