,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Antonio Brown (TB),129,181,1698,13.2,63,19,13,4,13,0,2,16,380.9,23.8,90.2%
1,2,Dez Bryant (FA),88,137,1320,15.0,68,22,16,0,0,0,0,16,316.0,19.8,2.6%
2,3,Emmanuel Sanders (BUF),101,141,1404,13.9,48,24,9,8,44,0,0,16,301.8,18.9,76.3%
3,4,Julio Jones (TEN),104,163,1593,15.3,79,31,6,1,1,0,1,15,297.4,19.8,69.4%
4,5,Odell Beckham Jr. (LAR),91,130,1305,14.3,80,16,12,7,35,0,1,12,295.0,24.6,85.8%
5,6,Randall Cobb (GB),91,127,1287,14.1,70,24,12,11,37,0,2,16,293.4,18.3,14.5%
6,7,Alshon Jeffery (FA),85,145,1133,13.3,74,17,10,6,33,0,0,16,261.6,16.4,0.0%
7,8,Golden Tate (FA),99,144,1331,13.4,73,17,4,5,30,0,0,16,259.1,16.2,0.0%
8,9,T.Y. Hilton (IND),82,131,1345,16.4,73,21,7,2,20,0,1,15,258.5,17.2,28.4%
9,10,Mike Evans (TB),68,123,1051,15.5,56,20,12,0,0,0,0,15,245.1,16.3,99.0%
10,11,DeAndre Hopkins (ARI),76,127,1210,15.9,76,20,6,0,0,0,1,16,231.0,14.4,99.4%
11,12,Julian Edelman (FA),92,134,972,10.6,69,7,4,10,94,0,0,14,222.6,15.9,13.1%
12,13,DeSean Jackson (LV),56,95,1169,20.9,81,16,6,4,7,0,0,15,209.6,14.0,4.1%
13,14,A.J. Green (ARI),69,116,1041,15.1,81,13,6,2,2,0,2,13,205.3,15.8,40.0%
14,15,Jordan Matthews (SF),67,103,872,13.0,44,16,8,0,0,0,0,16,202.2,12.6,0.0%
15,16,Sammy Watkins (BAL),65,128,982,15.1,84,14,6,2,8,0,1,16,198.0,12.4,9.2%
16,17,Jarvis Landry (CLE),84,112,758,9.0,25,6,5,2,-4,0,4,16,181.4,11.3,76.1%
17,18,Mohamed Sanu Sr. (SF),56,98,790,14.1,76,9,5,7,51,0,0,16,179.2,11.2,0.1%
18,19,Kenny Stills (NO),63,84,931,14.8,69,10,3,1,-2,0,0,15,173.9,11.6,0.1%
19,20,Robert Woods (LAR),65,104,699,10.8,37,11,5,0,0,0,1,16,164.9,10.3,42.8%
20,21,Allen Hurns (MIA),51,97,677,13.3,63,11,6,0,0,0,0,16,154.7,9.7,0.0%
21,22,Larry Fitzgerald (FA),63,104,784,12.4,80,11,2,0,0,0,1,14,151.4,10.8,0.2%
22,23,John Brown (JAC),48,103,696,14.5,75,11,5,3,-6,0,0,16,147.0,9.2,1.3%
23,24,Brandin Cooks (HOU),53,69,550,10.4,50,4,3,7,73,1,0,10,139.3,13.9,93.5%
24,25,Allen Robinson II (CHI),48,81,548,11.4,54,5,2,0,0,0,0,10,116.8,11.7,70.9%
25,26,Chris Hogan (FA),41,61,426,10.4,31,5,4,0,0,0,2,16,103.6,6.5,0.0%
26,27,Davante Adams (GB),38,66,446,11.7,45,5,3,0,0,0,0,16,100.6,6.3,100.0%
27,28,Cole Beasley (BUF),37,49,420,11.4,45,4,4,0,0,0,2,16,99.0,6.2,73.7%
28,29,Donte Moncrief (HOU),32,49,444,13.9,79,7,3,4,17,0,0,16,96.1,6.0,0.0%
29,30,Andre Roberts (LAC),36,73,453,12.6,61,7,2,2,21,0,2,16,91.4,5.7,0.0%
30,31,Travis Benjamin (SF),18,46,314,17.4,43,8,3,3,11,0,0,16,68.5,4.3,0.0%
31,32,Josh Gordon (KC),24,47,303,12.6,32,3,0,0,0,0,0,5,54.3,10.9,2.3%
32,33,Danny Amendola (HOU),27,42,200,7.4,21,1,1,0,0,0,0,16,53.0,3.3,0.2%
33,34,Albert Wilson (MIA),16,28,260,16.3,48,4,0,0,0,0,0,12,42.0,3.5,0.7%
34,35,Ted Ginn Jr. (FA),14,26,190,13.6,27,3,0,3,6,0,0,16,34.0,2.1,0.0%
35,36,Adam Thielen (MIN),8,13,137,17.1,44,2,1,0,0,0,0,16,27.7,1.7,98.1%
36,37,Dwayne Harris (FA),7,12,116,16.6,56,1,0,4,7,0,2,16,15.3,1.0,0.0%
37,38,Marquise Goodwin (CHI),1,9,42,42.0,42,1,0,3,8,0,0,10,6.0,0.6,0.2%
38,39,Cody Latimer (FA),2,4,23,11.5,14,0,0,0,0,0,0,8,4.3,0.5,0.0%
39,40,Stanley Morgan Jr. (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
40,41,DeAndre Thompkins (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
41,42,Travis Fulgham (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
42,43,Jason Moore Jr. (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
43,44,Nsimba Webster (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
