,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Travis Kelce (KC),105,145,1416,13.5,45,0,11,0,0,0,1,15,312.8,20.9,100.0%
1,2,Darren Waller (LV),107,145,1196,11.2,38,0,9,0,0,0,2,16,278.6,17.4,99.8%
2,3,Logan Thomas (WAS),72,110,670,9.3,30,0,6,3,5,0,0,16,176.6,11.0,49.8%
3,4,Robert Tonyan (GB),52,59,586,11.3,45,0,11,0,0,0,0,16,176.6,11.0,23.1%
4,5,T.J. Hockenson (DET),67,101,723,10.8,51,0,6,1,0,0,1,16,175.3,11.0,96.0%
5,6,Mark Andrews (BAL),58,88,701,12.1,39,0,7,0,0,0,0,14,170.1,12.2,99.7%
6,7,Mike Gesicki (MIA),53,85,703,13.3,70,0,6,0,0,0,0,15,159.3,10.6,92.9%
7,8,Noah Fant (DEN),62,93,673,10.9,37,0,3,0,0,0,0,15,149.3,10.0,79.5%
8,9,Rob Gronkowski (TB),45,77,623,13.8,48,0,7,0,0,0,0,16,149.3,9.3,88.0%
9,10,Hayden Hurst (ATL),56,88,571,10.2,42,0,6,0,0,0,0,16,149.1,9.3,1.5%
10,11,Dalton Schultz (DAL),63,89,615,9.8,28,0,4,0,0,0,1,16,146.5,9.2,80.2%
11,12,Hunter Henry (NE),60,93,613,10.2,33,0,4,0,0,0,0,14,145.3,10.4,70.8%
12,13,Jimmy Graham (CHI),50,76,456,9.1,30,0,8,0,0,0,0,16,143.6,9.0,0.4%
13,14,Eric Ebron (PIT),56,91,558,10.0,27,0,5,0,0,0,1,15,141.8,9.5,4.1%
14,15,Evan Engram (NYG),63,109,654,10.4,53,0,1,6,26,1,1,16,141.0,8.8,29.2%
15,16,Jonnu Smith (NE),41,65,448,10.9,63,0,8,2,4,1,0,15,140.2,9.3,27.4%
16,17,Tyler Higbee (LAR),44,60,521,11.8,44,0,5,1,1,0,0,15,128.2,8.5,77.9%
17,18,Jared Cook (LAC),37,60,504,13.6,46,0,7,0,0,0,1,15,127.4,8.5,54.2%
18,19,George Kittle (SF),48,63,634,13.2,44,0,2,2,17,0,0,8,125.1,15.6,98.6%
19,20,Dallas Goedert (PHI),46,65,524,11.4,41,0,3,0,0,0,0,11,116.4,10.6,83.3%
20,21,Austin Hooper (CLE),46,70,435,9.5,36,0,4,0,0,0,0,13,113.5,8.7,21.6%
21,22,Irv Smith Jr. (MIN),30,43,365,12.2,36,0,5,0,0,0,0,13,98.5,7.6,7.9%
22,23,Dan Arnold (JAC),31,45,438,14.1,59,0,4,0,0,0,1,16,96.8,6.1,41.0%
23,24,Gerald Everett (SEA),41,62,417,10.2,40,0,1,1,2,1,1,16,92.9,5.8,12.3%
24,25,Jordan Akins (HOU),37,49,403,10.9,26,0,1,1,4,0,0,13,83.7,6.4,0.5%
25,26,Anthony Firkser (TEN),39,53,387,9.9,45,0,1,0,0,0,0,16,83.7,5.2,3.9%
26,27,Trey Burton (FA),28,47,250,8.9,20,0,3,2,3,2,0,13,83.3,6.4,0.0%
27,28,Tyler Eifert (FA),36,60,349,9.7,28,0,2,0,0,0,0,15,82.9,5.5,0.0%
28,29,Mo Alie-Cox (IND),31,39,394,12.7,45,0,2,0,0,0,1,15,80.4,5.4,5.4%
29,30,Drew Sample (CIN),40,53,349,8.7,23,0,1,0,0,0,1,16,78.9,4.9,0.1%
30,31,Zach Ertz (ARI),36,72,335,9.3,42,0,1,0,0,0,0,11,77.5,7.0,71.2%
31,32,Darren Fells (TB),21,28,312,14.9,44,0,4,0,0,0,0,16,76.2,4.8,0.0%
32,33,Chris Herndon IV (MIN),31,46,287,9.3,26,0,3,0,0,0,2,16,73.7,4.6,0.2%
33,34,Jordan Reed (FA),26,46,231,8.9,26,0,4,0,0,0,0,10,73.1,7.3,19.0%
34,35,Richard Rodgers (PHI),24,31,345,14.4,33,0,2,0,0,0,0,14,70.5,5.0,0.0%
35,36,Cameron Brate (TB),28,34,282,10.1,25,0,2,0,0,0,0,16,68.2,4.3,2.9%
36,37,Dawson Knox (BUF),24,44,288,12.0,36,0,3,0,0,0,2,12,66.8,5.6,74.6%
37,38,Jacob Hollister (JAC),25,40,209,8.4,20,0,3,0,0,0,0,16,65.9,4.1,0.0%
38,39,Kyle Rudolph (NYG),28,37,334,11.9,25,0,1,0,0,0,1,12,65.4,5.5,0.7%
39,40,Jack Doyle (IND),23,33,251,10.9,28,0,3,0,0,0,1,14,64.1,4.6,1.0%
40,41,Cole Kmet (CHI),28,44,243,8.7,38,0,2,1,-3,0,1,16,62.0,3.9,19.2%
41,42,Harrison Bryant (CLE),24,38,238,9.9,35,0,3,0,0,0,2,15,61.8,4.1,0.1%
42,43,Will Dissly (SEA),24,29,251,10.5,28,0,2,0,0,0,0,16,61.1,3.8,0.3%
43,44,Durham Smythe (MIA),26,29,208,8.0,19,0,2,0,0,0,0,15,58.8,3.9,0.0%
44,45,James O'Shaughnessy (JAC),28,38,262,9.4,26,0,0,0,0,0,0,15,54.2,3.6,0.1%
45,46,Greg Olsen (FA),24,37,239,10.0,22,0,1,0,0,0,0,11,53.9,4.9,7.0%
46,47,David Njoku (CLE),19,29,213,11.2,28,0,2,0,0,0,0,13,52.3,4.0,6.4%
47,48,Ross Dwelley (SF),19,24,245,12.9,36,0,1,0,0,0,0,16,49.5,3.1,0.2%
48,49,Adam Shaheen (MIA),12,22,150,12.5,43,0,3,0,0,0,0,16,45.0,2.8,0.0%
49,50,Tyler Conklin (MIN),19,26,194,10.2,30,0,1,0,0,0,0,16,44.4,2.8,39.6%
50,51,Donald Parham Jr. (LAC),10,20,159,15.9,26,0,3,0,0,0,0,13,43.9,3.4,0.7%
51,52,Pharaoh Brown (HOU),14,16,163,11.6,29,0,2,0,0,0,0,13,42.3,3.3,0.0%
52,53,Tyler Kroft (NYJ),12,16,119,9.9,38,0,3,0,0,0,0,10,41.9,4.2,0.2%
53,54,Ian Thomas (CAR),20,31,145,7.3,21,0,1,0,0,0,0,16,40.5,2.5,0.1%
54,55,Jesse James (CHI),14,22,129,9.2,31,0,2,0,0,0,0,16,38.9,2.4,0.1%
55,56,Marcedes Lewis (GB),10,17,107,10.7,36,0,3,0,0,0,0,15,38.7,2.6,0.7%
56,57,Adam Trautman (NO),15,16,171,11.4,41,0,1,0,0,0,0,15,38.1,2.5,6.4%
57,58,O.J. Howard (TB),11,19,146,13.3,33,0,2,0,0,0,0,4,37.6,9.4,2.1%
58,59,Nick Boyle (BAL),14,17,113,8.1,21,0,2,0,0,0,0,9,37.3,4.1,0.1%
59,60,Foster Moreau (LV),7,9,140,20.0,47,0,2,0,0,0,0,16,33.0,2.1,0.7%
60,61,Jason Witten (FA),13,17,69,5.3,15,0,2,0,0,0,0,16,31.9,2.0,0.1%
61,62,Ryan Izzo (SEA),13,20,199,15.3,50,0,0,0,0,0,1,12,30.9,2.6,0.0%
62,63,Nick Vannett (NO),14,21,95,6.8,19,0,1,0,0,0,0,15,29.5,2.0,0.0%
63,64,Jace Sternberger (FA),12,15,114,9.5,27,0,1,0,0,0,0,12,29.4,2.5,0.0%
64,65,Kaden Smith (NYG),18,21,112,6.2,16,0,0,0,0,0,0,15,29.2,1.9,0.0%
65,66,Albert Okwuegbunam (DEN),11,15,121,11.0,27,0,1,0,0,0,0,4,29.1,7.3,1.0%
66,67,Vance McDonald (FA),15,20,99,6.6,15,0,0,0,0,0,0,14,24.9,1.8,0.0%
67,68,Maxx Williams (ARI),8,10,102,12.8,42,0,1,0,0,0,0,9,24.2,2.7,0.5%
68,69,Geoff Swaim (TEN),9,12,83,9.2,16,0,1,0,0,0,0,10,23.3,2.3,0.7%
69,70,Darrell Daniels (ARI),8,11,92,11.5,31,0,1,0,0,0,0,12,23.2,1.9,0.1%
70,71,C.J. Uzomah (CIN),8,11,87,10.9,23,0,1,0,0,0,0,2,22.7,11.4,19.1%
71,72,Blake Bell (KC),11,15,110,10.0,24,0,0,1,2,0,0,16,22.2,1.4,0.1%
72,73,Troy Fumagalli (NE),8,15,80,10.0,29,0,1,0,0,0,0,8,22.0,2.8,0.0%
73,74,MyCole Pruitt (TEN),5,8,49,9.8,22,0,2,0,0,0,0,11,21.9,2.0,0.1%
74,75,Lee Smith (ATL),4,6,35,8.8,27,0,2,0,0,0,0,10,19.5,2.0,0.0%
