,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Stephen Gostkowski (FA),35,37,94.6,53,1,11,10,12,1,51,51,16,170.0,10.6,0.1%
1,2,Cody Parkey (FA),32,36,88.9,54,0,10,14,4,4,54,54,16,162.0,10.1,0.4%
2,3,Dan Bailey (FA),25,29,86.2,56,0,6,6,8,5,56,56,16,149.0,9.3,0.0%
3,4,Stephen Hauschka (FA),31,37,83.8,58,0,10,10,9,2,41,41,16,147.0,9.2,0.0%
4,5,Mason Crosby (GB),27,33,81.8,55,0,7,11,5,4,53,53,16,147.0,9.2,39.1%
5,6,Randy Bullock (TEN),30,35,85.7,55,0,6,13,7,4,40,40,16,145.0,9.1,58.8%
6,7,Justin Tucker (BAL),29,34,85.3,55,0,10,11,4,4,42,42,16,141.0,8.8,97.6%
7,8,Nick Folk (NE),32,39,82.1,55,0,13,7,9,3,23,23,16,134.0,8.4,77.6%
8,9,Graham Gano (NYG),29,35,82.9,53,0,7,12,9,1,34,34,16,132.0,8.3,34.3%
9,10,Mike Nugent (FA),26,33,78.8,49,0,6,10,10,0,39,39,16,127.0,7.9,1.0%
10,11,Cairo Santos (CHI),25,30,83.3,53,1,10,6,7,1,38,38,16,122.0,7.6,2.2%
11,12,Greg Zuerlein (DAL),24,30,80.0,56,1,6,10,2,5,34,35,16,118.0,7.4,42.0%
12,13,Kai Forbath (LAR),24,27,88.9,49,0,11,6,7,0,31,31,16,110.0,6.9,3.0%
13,14,Matt Prater (ARI),21,26,80.8,52,0,8,4,6,3,21,21,11,96.0,8.7,71.9%
14,15,Ryan Succop (TB),19,22,86.4,51,0,5,7,5,2,27,27,16,93.0,5.8,51.2%
15,16,Brandon McManus (DEN),9,13,69.2,44,0,5,2,2,0,41,41,15,70.0,4.7,31.2%
16,17,Robbie Gould (SF),9,12,75.0,45,0,4,2,3,0,28,28,12,58.0,4.8,11.3%
17,18,Harrison Butker (KC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,95.1%
18,19,Younghoe Koo (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.4%
19,20,Daniel Carlson (LV),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.0%
20,21,Jason Sanders (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.5%
21,22,Greg Joseph (MIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%
22,23,Tristan Vizcaino (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
23,24,Matt Gay (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.5%
24,25,Jake Elliott (PHI),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%
