,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Larry Fitzgerald (FA),80,154,1411,17.6,73,0,8,0,0,0,0,16,269.1,16.8,0.2%
1,2,A.J. Green (ARI),65,115,1057,16.3,58,0,7,5,53,0,0,15,218.0,14.5,40.0%
2,3,Dez Bryant (FA),63,103,928,14.7,50,0,9,1,5,0,1,15,208.3,13.9,2.6%
3,4,Julio Jones (TEN),54,95,959,17.8,80,0,8,6,56,0,1,13,201.5,15.5,69.4%
4,5,Antonio Brown (TB),69,124,1108,16.1,79,0,2,7,41,0,0,16,195.9,12.2,90.2%
5,6,DeSean Jackson (LV),58,104,961,16.6,62,0,4,7,41,0,1,15,180.2,12.0,4.1%
6,7,Andre Roberts (LAC),51,98,586,11.5,45,0,2,3,27,0,0,16,124.3,7.8,0.0%
7,8,Golden Tate (FA),35,58,382,10.9,33,0,3,5,14,0,0,16,92.6,5.8,0.0%
8,9,Emmanuel Sanders (BUF),22,43,288,13.1,32,0,2,0,0,0,0,11,63.4,5.8,76.3%
9,10,Randall Cobb (GB),25,31,375,15.0,61,0,1,2,5,0,3,15,63.0,4.2,14.5%
10,11,Ted Ginn Jr. (FA),19,33,220,11.6,26,0,0,8,68,0,0,14,47.8,3.4,0.0%
11,12,Julian Edelman (FA),4,8,34,8.5,11,0,0,4,8,0,1,13,6.2,0.5,13.1%
12,13,Matthew Slater (NE),1,3,46,46.0,46,0,0,0,0,0,1,16,3.6,0.2,0.0%
13,14,Scotty Miller (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
14,15,Trinity Benson (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
15,16,Tyron Johnson (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
16,17,Jeff Smith (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
17,18,Penny Hart (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
18,19,Quinton Bell (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
19,20,Darius Slayton (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.7%
20,21,Jody Fortson (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
21,22,Trenton Irwin (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
22,23,John Ursua (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
23,24,Bisi Johnson (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
24,25,D.J. Montgomery (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
